value,transcription,alt_transcription,IPA,Comment
a,Phonemic,NA,ʌ,https://en.wikipedia.org/wiki/Help:IPA/Nepali https://en.wiktionary.org/wiki/%E0%A4%9C%E0%A4%A8%E0%A4%BE%E0%A4%B5%E0%A4%B0 janāvara in IDS
d,Phonemic,NA,d,
n,Phonemic,NA,n,
u,Phonemic,NA,u,
ṭ,Phonemic,NA,ʈ,
ṅ,Phonemic,NA,ŋ,नङ https://en.wikipedia.org/wiki/Help:IPA/Nepali
g,Phonemic,NA,g,
y,Phonemic,NA,j,
ā,Phonemic,NA,ʌː,
t,Phonemic,NA,t,
r,Phonemic,NA,r,
h,Phonemic,NA,h,
l,Phonemic,NA,l,
m,Phonemic,NA,m,
ē,Phonemic,NA,eː,
s,Phonemic,NA,s,
j,Phonemic,NA,d͡z,https://en.wiktionary.org/wiki/%E0%A4%9C%E0%A4%A8%E0%A4%BE%E0%A4%B5%E0%A4%B0 janāvara in IDS
ō,Phonemic,NA,oː,
k,Phonemic,NA,k,
ṇ,Phonemic,NA,ɳ,https://en.wikipedia.org/wiki/Help:IPA/Nepali
ḍ,Phonemic,NA,ɖ,https://en.wikipedia.org/wiki/Help:IPA/Nepali
b,Phonemic,NA,b,
i,Phonemic,NA,i,
p,Phonemic,NA,p,
v,Phonemic,NA,v,
á,Phonemic,NA,a,
e,Phonemic,NA,e,
ṣ,Phonemic,NA,s,http://www.languagesgulper.com/eng/Nepali.html
ś,Phonemic,NA,s,http://www.languagesgulper.com/eng/Nepali.html
ch,Phonemic,NA,t͡sʰ,https://en.wikipedia.org/wiki/Help:IPA/Nepali
c,Phonemic,NA,t͡s,
ū,Phonemic,NA,uː,
ī,Phonemic,NA,iː,
ān̐,Phonemic,NA,ʌ̃ː,chandrabindu n̐ nasalizes vowel that comes before
ūn̐,Phonemic,NA,ũː,chandrabindu n̐ nasalizes vowel that comes before
un̐,Phonemic,NA,ũ,
o,Phonemic,NA,o,
é,Phonemic,NA,e,
à,Phonemic,NA,a,
ñ,Phonemic,NA,ŋ,
ām̐,Phonemic,NA,ʌ̃ː,chandrabindu m̐ nasalizes vowel that comes before
w,Phonemic,NA,w,
ṛ,Phonemic,NA,ɻ,https://en.wikipedia.org/wiki/%E1%B9%9A_(Indic)
T,Phonemic,NA,t,
ṃ,Phonemic,NA,n,
:,Phonemic,NA,ː,
