value,transcription,alt_transcription,IPA,Comment
n,Phonemic,NA,,
i,Phonemic,NA,,
ṟ,Phonemic,NA,,
u,Phonemic,NA,,
t,Phonemic,NA,,
a,Phonemic,NA,,
l,Phonemic,NA,,
v,Phonemic,NA,,
ē,Phonemic,NA,,
m,Phonemic,NA,,
ū,Phonemic,NA,,
ṭ,Phonemic,NA,,
o,Phonemic,NA,,
r,Phonemic,NA,,
ā,Phonemic,NA,,
p,Phonemic,NA,,
k,Phonemic,NA,,
c,Phonemic,NA,,
j,Phonemic,NA,,
ō,Phonemic,NA,,
e,Phonemic,NA,,
ṇ,Phonemic,NA,,
ḻ,Phonemic,NA,,
 ,Phonemic,NA,,
ḷ,Phonemic,NA,,
ñ,Phonemic,NA,,
y,Phonemic,NA,,
ṅ,Phonemic,NA,,
ṉ,Phonemic,NA,,
ī,Phonemic,NA,,
s,Phonemic,NA,,
ஜ,Phonemic,NA,,
ṣ,Phonemic,NA,,
