value,transcription,alt_transcription,IPA,Comment
11,phonetic,NA,1,
24,phonetic,NA,2,
31,phonetic,NA,3,
33,phonetic,NA,4,
35,phonetic,NA,5,
55,phonetic,NA,6,
0,,phonetic,NA,7,
s,phonetic,NA,s,
ə,phonetic,NA,ə,
n,phonetic,NA,n,
h,phonetic,NA,h,
ɔ,phonetic,NA,ɔ,
t,phonetic,NA,t,
w,phonetic,NA,w,
a,phonetic,NA,a,
ŋ,phonetic,NA,ŋ,
i,phonetic,NA,i,
ć,phonetic,NA,c,
u,phonetic,NA,u,
p,phonetic,NA,p,
k,phonetic,NA,k,
ɣ,phonetic,NA,ɣ,
e,phonetic,NA,e,
j,phonetic,NA,j,
o,phonetic,NA,o,
l,phonetic,NA,l,
m,phonetic,NA,m,
ʔ,phonetic,NA,ʔ,
ϑ,phonetic,NA,θ,
ç,phonetic,NA,ç,
c,phonetic,NA,c,
x,phonetic,NA,x,
ń,phonetic,NA,ɲ,
f,phonetic,NA,f,
d,phonetic,NA,d,
ɨ,phonetic,NA,ɨ,
g,phonetic,NA,g,
