value,transcription,alt_transcription,IPA,Comment
t,Phonemic,NA,t,
a,Phonemic,NA,a,
ŋ,Phonemic,NA,ŋ,
1,Phonemic,NA,1,
2,Phonemic,NA,2,
3,Phonemic,NA,3,
4,Phonemic,NA,4,
5,Phonemic,NA,5,
6,Phonemic,NA,6,
7,Phonemic,NA,7,
8,Phonemic,NA,8,
ʔ,Phonemic,ʔNA,,
n,Phonemic,NA,n,
i,Phonemic,NA,i,
h,Phonemic,NA,h,
e,Phonemic,NA,e,
ś,Phonemic,NA,ɕ,compare "cook" "wife" "suck" "live" https://abvd.shh.mpg.de/austronesian/language.php?id=736
l,Phonemic,NA,l,
ə,Phonemic,NA,ə,
:,Phonemic,NA,ː,
p,Phonemic,NA,p,
c,Phonemic,NA,ts,see "body hair" "dig" "eat" "feather" "ride" "uncle" https://github.com/lexibank/castrosui/tree/v2.0/cldf
u,Phonemic,NA,u,
s,Phonemic,NA,s,
d,Phonemic,NA,d,
m,Phonemic,NA,m,
b,Phonemic,NA,b,
ć,Phonemic,NA,ȶ,see "arm" "bite" "friend" "half" "kneel" https://github.com/lexibank/castrosui/tree/v2.0/cldf
o,Phonemic,NA,o,
j,Phonemic,NA,j,
k,Phonemic,NA,k,
q,Phonemic,NA,q,
f,Phonemic,NA,f,
w,Phonemic,NA,w,
ɣ,Phonemic,NA,ɣ,
ń,Phonemic,NA,ȵ, see "drum" "evening" "thunder" https://github.com/lexibank/castrosui/tree/v2.0/cldf
r,Phonemic,NA,r,
ɨ,Phonemic,NA,ɨ,
v,Phonemic,NA,v,
z,Phonemic,NA,z,
