value,transcription,alt_transcription,IPA,Comment
t,Phonemic,NA,t,
ɛ,Phonemic,NA,ɛ,
:,Phonemic,NA,ː,
ŋ,Phonemic,NA,ŋ,
1,Phonemic,NA,1,
2,Phonemic,NA,2,
24,Phonemic,NA,3,
3,Phonemic,NA,4,
4,Phonemic,NA,5,
5,Phonemic,NA,6,
6,Phonemic,NA,7,
7,Phonemic,NA,8,
8,Phonemic,NA,9,
p,Phonemic,NA,p,
o,Phonemic,NA,o,
k,Phonemic,NA,k,
l,Phonemic,NA,l,
i,Phonemic,NA,i,
e,Phonemic,NA,e,
u,Phonemic,NA,u,
h,Phonemic,NA,h,
c,Phonemic,NA,ts,https://abvd.shh.mpg.de/austronesian/language.php?id=754 compare words eg "mosquito" "fruit" "choose"
a,Phonemic,NA,a,
j,Phonemic,NA,j,
n,Phonemic,NA,n,
s,Phonemic,NA,s,
ə,Phonemic,NA,ə,
f,Phonemic,NA,f,
m,Phonemic,NA,m,
ł,Phonemic,NA,ł,
w,Phonemic,NA,w,
b,Phonemic,NA,b,
ã,Phonemic,NA,ã,
ɛ̃,Phonemic,NA,ɛ̃,
ũ,Phonemic,NA,ũ,
ẽ,Phonemic,NA,ẽ,
ɨ,Phonemic,NA,ɨ,
ń,Phonemic,NA,ŋ,https://abvd.shh.mpg.de/austronesian/language.php?id=754 "to chew" only occurrence
ĩ,Phonemic,NA,ĩ,
ĳ,Phonemic,NA,ij,
ə̃,Phonemic,NA,ə̃,
õ,Phonemic,NA,õ,
