value,transcription,alt_transcription,IPA,Comment
t,Phonemic,NA,t,
h,Phonemic,NA,h,
i,Phonemic,NA,i,
n,Phonemic,NA,n,
13,Phonemic,NA,,
23,Phonemic,NA,,
31,Phonemic,NA,,
315,Phonemic,NA,,
33,Phonemic,NA,,
35,Phonemic,NA,,
41,Phonemic,NA,,
42,Phonemic,NA,,
55,Phonemic,NA,,
m,Phonemic,NA,m,
a,Phonemic,NA,a,
ʔ,Phonemic,NA,ʔ,
ŋ,Phonemic,NA,ŋ,
o,Phonemic,NA,o,
s,Phonemic,NA,s,
k,Phonemic,NA,k,
p,Phonemic,NA,p,
u,Phonemic,NA,u,
e,Phonemic,NA,e,
l,Phonemic,NA,l,
z,Phonemic,NA,z,
ə,Phonemic,NA,ə,
j,Phonemic,NA,j,
ʒ́,Phonemic,NA,ʒ,
ć,Phonemic,NA,tɕ,
f,Phonemic,NA,f,
c,Phonemic,NA,tɕ,
v,Phonemic,NA,v,
ɣ,Phonemic,NA,ɣ,
ś,Phonemic,NA,s,
ʒ,Phonemic,NA,ʒ,
y,Phonemic,NA,y,
ł,Phonemic,NA,ł,
ń,Phonemic,NA,ɲ,
q,Phonemic,NA,q,
d,Phonemic,NA,d,
w,Phonemic,NA,w,
ĳ,Phonemic,NA,ij,
H,Phonemic,NA,h,
