value,transcription,alt_transcription,IPA,Comment
a,Phonemic,NA,a,
n,Phonemic,NA,n,
õ,Phonemic,NA,õ,
k,Phonemic,NA,k,
ʰ,Phonemic,NA,ʰ,
i,Phonemic,NA,i,
d,Phonemic,NA,d,
ʊ,Phonemic,NA,ʊ,
r,Phonemic,NA,ɾ,https://en.wikipedia.org/wiki/Yaruro_language
č,Phonemic,NA,tʃ,
o,Phonemic,NA,o,
t,Phonemic,NA,t,
u,Phonemic,NA,u,
p,Phonemic,NA,p,
e,Phonemic,NA,e,
ɛ,Phonemic,NA,ɛ,
h,Phonemic,NA,h,
ẽ,Phonemic,NA,ẽ,
ã,Phonemic,NA,ã,
ɛ̃,Phonemic,NA,ɛ̃,
m,Phonemic,NA,m,
y,Phonemic,NA,j,
ĩ,Phonemic,NA,ĩ,
ɨ,Phonemic,NA,ɨ,
b,Phonemic,NA,b,
ũ,Phonemic,NA,ũ,
ɔ,Phonemic,NA,ɔ,
g,Phonemic,NA,g,
ʊ̃,Phonemic,NA,ʊ̃,
ɔ̃,Phonemic,NA,ɔ̃,
ɨ̃,Phonemic,NA,ɨ̃,
j,Phonemic,NA,j,
β,Phonemic,NA,β,
l,Phonemic,NA,l,
P,Phonemic,NA,p,
