value,transcription,alt_transcription,IPA,Comment
j,phonetic,NA,j,
u,phonetic,NA,u,
t,phonetic,NA,t,
A,phonetic,NA,1,
B,phonetic,NA,2,
C,phonetic,NA,3,
D,phonetic,NA,4,
33,phonetic,NA,5,
31,0phonetic,NA,6,
r,phonetic,NA,r,
ə,phonetic,NA,ə,
c,phonetic,NA,c,http://sealang.net/sala/archives/pdf8/ploykaew2001phonology.pdf
o,phonetic,NA,o,
p,phonetic,NA,p,
ʔ,phonetic,NA,ʔ,
ɔ,phonetic,NA,ɔ,
h,phonetic,NA,h,
n,phonetic,NA,n,
:,phonetic,NA,ː,
m,phonetic,NA,m,
k,phonetic,NA,k,
i,phonetic,NA,i,
a,phonetic,NA,a,
w,phonetic,NA,w,
e,phonetic,NA,e,
l,phonetic,NA,l,
s,phonetic,NA,s,
ŋ,phonetic,NA,ŋ,
b,phonetic,NA,b,
ɨ,phonetic,NA,ɨ,
d,phonetic,NA,d,
ń,phonetic,NA,ɲ,http://sealang.net/sala/archives/pdf8/ploykaew2001phonology.pdf
ɛ,phonetic,NA,ɛ,
f,phonetic,NA,f,
y,phonetic,NA,j,
