value,transcription,alt_transcription,IPA,Comment
v,Phonemic,NA,v,
ɔ,Phonemic,NA,ɔ,
h,Phonemic,NA,h,
i,Phonemic,NA,i,
a,Phonemic,NA,a,
ʔ,Phonemic,NA,ʔ,
ö,Phonemic,NA,ø,https://omniglot.com/writing/rotuman.php
f,Phonemic,NA,f,
ŋ,Phonemic,NA,ŋ,
n,Phonemic,NA,n,
o,Phonemic,NA,o,
r,Phonemic,NA,r,
k,Phonemic,NA,k,
m,Phonemic,NA,m,
t,Phonemic,NA,t,
e,Phonemic,NA,ɛ,https://en.wikipedia.org/wiki/Rotuman_language
p,Phonemic,NA,p,
s,Phonemic,NA,s,
u,Phonemic,NA,u,
æ,Phonemic,NA,æ,
l,Phonemic,NA,l,
č,Phonemic,NA,tʃ,
ā,Phonemic,NA,aː,
ū,Phonemic,NA,uː,
ē,Phonemic,NA,ɛː,
ō,Phonemic,NA,oː,
g,Phonemic,NA,g,
ü,Phonemic,NA,y,https://en.wikipedia.org/wiki/Rotuman_language#Orthography
ī,Phonemic,NA,iː,
ä,Phonemic,NA,æ,
ǣ,Phonemic,NA,æː,
j,Phonemic,NA,j,
