value,transcription,alt_transcription,IPA,Comment
1,Phonemic,NA,1,
2,Phonemic,NA,2,
3,Phonemic,NA,3,
4,Phonemic,NA,4,
5,Phonemic,NA,5,
6,Phonemic,NA,6,
7,Phonemic,NA,7,
8,Phonemic,NA,8,
t,Phonemic,NA,t,
i,Phonemic,NA,i,
ŋ,Phonemic,NA,ŋ,
h,Phonemic,NA,h,
u,Phonemic,NA,u,
n,Phonemic,NA,n,
p,Phonemic,NA,p,
a,Phonemic,NA,a,
ł,Phonemic,NA,ł,
:,Phonemic,NA,ː,
k,Phonemic,NA,k,
c,Phonemic,NA,tɕ,https://abvd.shh.mpg.de/austronesian/language.php?id=842
ś,Phonemic,NA,ɕ,
o,Phonemic,NA,o,
l,Phonemic,NA,l,
ʔ,Phonemic,NA,ʔ,
v,Phonemic,NA,v,
f,Phonemic,NA,f,
m,Phonemic,NA,m,
ɨ,Phonemic,NA,ɨ,
b,Phonemic,NA,b,
j,Phonemic,NA,j,
e,Phonemic,NA,e,
d,Phonemic,NA,d,
ń,Phonemic,NA,ɲ,
ə,Phonemic,NA,ə,
ä,Phonemic,NA,a,
ṗ,Phonemic,NA,p,
Ł,Phonemic,NA,ł,
w,Phonemic,NA,w,
x,Phonemic,NA,x,
