value,transcription,alt_transcription,IPA,Comment
k,Phonemic,NA,k,
ʰ,Phonemic,NA,ʰ,
u,Phonemic,NA,u,
n,Phonemic,NA,n,
s,Phonemic,NA,s,
í,Phonemic,NA,í,high tone 
i,Phonemic,NA,i,
t,Phonemic,NA,t,
l,Phonemic,NA,l,
a,Phonemic,NA,a,
ḳ,Phonemic,NA,q,https://en.wikipedia.org/wiki/Haida_language#Modern_orthography
y,Phonemic,NA,j,
á,Phonemic,NA,á,
h,Phonemic,NA,h,
w,Phonemic,NA,w,
ˁ,Phonemic,NA,ˁ,
ˀ,Phonemic,NA,ˀ,
ú,Phonemic,NA,ú,
č,Phonemic,NA,tʃ,
x,Phonemic,NA,x,
m,Phonemic,NA,m,
ʔ,Phonemic,NA,v,
ŋ,Phonemic,NA,ŋ,
é,Phonemic,NA,é,
χ,Phonemic,NA,χ,
p,Phonemic,NA,p,
e,Phonemic,NA,e,
S,Phonemic,NA,s,god
b,Phonemic,NA,b,
