value,transcription,alt_transcription,IPA,Comment
b,CyrillTrans,Phonemic,b,
i,CyrillTrans,Phonemic,i,
č,CyrillTrans,Phonemic,tʃ,
a,CyrillTrans,Phonemic,a,
ɬ,CyrillTrans,Phonemic,ɬ,
e,CyrillTrans,Phonemic,e,
q,CyrillTrans,Phonemic,q,
ʼ,CyrillTrans,Phonemic,ʼ,
r,CyrillTrans,Phonemic,r,
x,CyrillTrans,Phonemic,χ,
l,CyrillTrans,Phonemic,l,
t,CyrillTrans,Phonemic,t,
o,CyrillTrans,Phonemic,o,
ʷ,CyrillTrans,Phonemic,v,
y,CyrillTrans,Phonemic,j,
x̆,CyrillTrans,Phonemic,χ,хь not in sources
u,CyrillTrans,Phonemic,u,
w,CyrillTrans,Phonemic,v,
ʕ,CyrillTrans,Phonemic,ʕ,
d,CyrillTrans,Phonemic,d,
z,CyrillTrans,Phonemic,z,
m,CyrillTrans,Phonemic,m,
n,CyrillTrans,Phonemic,n,
s,CyrillTrans,Phonemic,s,
ɣ,CyrillTrans,Phonemic,ʁ,
ƛ,CyrillTrans,Phonemic,tɬ,https://omniglot.com/writing/tsez.htm
k,CyrillTrans,Phonemic,k,
g,CyrillTrans,Phonemic,g,
š,CyrillTrans,Phonemic,ʃ,
c,CyrillTrans,Phonemic,ts,
ˤ,CyrillTrans,Phonemic,ˤ,
ƛ̄,CyrillTrans,Phonemic,tɬː,
h,CyrillTrans,Phonemic,h,
ä,CyrillTrans,Phonemic,a,аь not in sources
p,CyrillTrans,Phonemic,p,
ž,CyrillTrans,Phonemic,ʒ,
ħ,CyrillTrans,Phonemic,ħ,
’,CyrillTrans,Phonemic,’,
f,CyrillTrans,Phonemic,f,
ˁ,CyrillTrans,Phonemic,ˁ,
с,CyrillTrans,Phonemic,ts,
ʲ,CyrillTrans,Phonemic,ʲ,
ʔ,CyrillTrans,Phonemic,ʔ,
