value,transcription,alt_transcription,IPA,Comment
n,phonetic,NA,n,
ɔ,phonetic,NA,ɔ,
51,phonetic,NA,1,
ć,phonetic,NA,c,https://phoible.org/inventories/view/1065
ə,phonetic,NA,ə,
t,phonetic,NA,t,
31,phonetic,NA,2,
33,phonetic,NA,3,
k,phonetic,NA,k,
a,phonetic,NA,a,
ʔ,phonetic,NA,ʔ,
i,phonetic,NA,i,
l,phonetic,NA,l,
h,phonetic,NA,h,
j,phonetic,NA,j,
ɨ,phonetic,NA,ɨ,
p,phonetic,NA,p,
ń,phonetic,NA,n,
m,phonetic,NA,m,
u,phonetic,NA,u,
ɛ,phonetic,NA,ɛ,
ŋ,phonetic,NA,ŋ,
s,phonetic,NA,s,
e,phonetic,NA,e,
v,phonetic,NA,v,
o,phonetic,NA,o,
x,phonetic,NA,x,
р,phonetic,NA,p,
d,phonetic,NA,d,
g,phonetic,NA,g,
f,phonetic,NA,f,
b,phonetic,NA,b,
ʒ́,phonetic,NA,ʒ,
L,phonetic,NA,l,
