value,transcription,alt_transcription,IPA,Comment
l,Phonemic,NA,l,
e,Phonemic,NA,e,
h,Phonemic,NA,h,
d,Phonemic,NA,d,
s,Phonemic,NA,s,
i,Phonemic,NA,i,
t,Phonemic,NA,t,
ˀ,Phonemic,NA,ˀ,
a,Phonemic,NA,a,
ü,Phonemic,NA,ɯ,https://omniglot.com/writing/tsimshian.htm
m,Phonemic,NA,m,
n,Phonemic,NA,n,
o,Phonemic,NA,o,
x,Phonemic,NA,χ,
b,Phonemic,NA,b,
y,Phonemic,NA,j,
p,Phonemic,NA,p,
u,Phonemic,NA,u,
ł,Phonemic,NA,ł,
ʔ,Phonemic,NA,ʔ,
g,Phonemic,NA,ɢ,https://omniglot.com/writing/tsimshian.htm
c̷,Phonemic,NA,ts,
k,Phonemic,NA,k,
z,Phonemic,NA,z,
w,Phonemic,NA,w,
ẅ,Phonemic,NA,ɰ,https://omniglot.com/writing/tsimshian.htm
c,Phonemic,NA,ts,
