value,transcription,alt_transcription,IPA,Comment
t,Phonemic,NA,t,
i,Phonemic,NA,i,
ŋ,Phonemic,NA,ŋ,
11,Phonemic,NA,1,
1,Phonemic,NA,2,
2,Phonemic,NA,3,
3,Phonemic,NA,4,
4,Phonemic,NA,5,
5,Phonemic,NA,6,
53,Phonemic,NA,7,
6,Phonemic,NA,8,
7,Phonemic,NA,9,
8,Phonemic,NA,10,
k,Phonemic,NA,k,
u,Phonemic,NA,u,
p,Phonemic,NA,p,
a,Phonemic,NA,a,
n,Phonemic,NA,n,
s,Phonemic,NA,s,
o,Phonemic,NA,o,
:,Phonemic,NA,ː,
z,Phonemic,NA,z,
ɨ,Phonemic,NA,ɨ,
j,Phonemic,NA,j,
l,Phonemic,NA,l,
d,Phonemic,NA,d,
h,Phonemic,NA,h,
m,Phonemic,NA,m,
w,Phonemic,NA,w,
e,Phonemic,NA,e,
c,Phonemic,NA,c,
f,Phonemic,NA,f,
b,Phonemic,NA,b,
ə,Phonemic,NA,ə,
ń,Phonemic,NA,ń,based on similar transcriptions
č,Phonemic,NA,ɕ,based on similar transcriptions
ä,Phonemic,NA,a,
ʔ,Phonemic,NA,ʔ,
