value,transcription,alt_transcription,IPA,Comment
i,Phonemic,NA,i,
t,Phonemic,NA,t,
a,Phonemic,NA,a,
w,Phonemic,NA,w,
m,Phonemic,NA,m,
u,Phonemic,NA,u,
r,Phonemic,NA,ɾ,https://archive.org/details/ign_SPA1979_phon/page/n1/mode/2up r flap
ʔ,Phonemic,NA,ʔ,
e,Phonemic,NA,e,
p,Phonemic,NA,p,
n,Phonemic,NA,n,
ɲ,Phonemic,NA,ɲ,
k,Phonemic,NA,k,
c̷,Phonemic,NA,ts,
č,Phonemic,NA,tʃ,
h,Phonemic,NA,h,
y,Phonemic,NA,j,
s,Phonemic,NA,s,
l,Phonemic,NA,l,
f,Phonemic,NA,f,
o,Phonemic,NA,o,
b,Phonemic,NA,b,
g,Phonemic,NA,g, loan from spanish trigu
d,Phonemic,NA,d,
š,Phonemic,NA,ʃ,
