value,transcription,alt_transcription,IPA,Comment
a,Phonemic,NA,a,
p,Phonemic,NA,p,
e,Phonemic,NA,e,
o,Phonemic,NA,u,https://en.wikipedia.org/wiki/Tacana_language#Vowels
t,Phonemic,NA,t,
i,Phonemic,NA,i,
n,Phonemic,NA,n,
č,Phonemic,NA,tʃ,
r,Phonemic,NA,ɾ,
c̷,Phonemic,NA,ts,
h,Phonemic,NA,h,
d,Phonemic,NA,d,
ď̶,Phonemic,NA,d,
b,Phonemic,NA,b,
s,Phonemic,NA,s,
k,Phonemic,NA,k,
w,Phonemic,NA,w,
m,Phonemic,NA,m,
ʷ,Phonemic,NA,ʷ,
ð,Phonemic,NA,ð,
l,Phonemic,NA,l,
y,Phonemic,NA,j,
ʔ,Phonemic,NA,ʔ,
š,Phonemic,NA,ʃ,
