phon,englishPOS,language
_@-p{n,Noun,English
_$-_Et,Noun,English
_I-h#d,Noun,English
_I-r#f,Noun,English
_u-l2,Noun,English
_{-b@R,Verb,English
_{-f@,Noun,English
_{-gj9R,Noun,English
_{-k$l,Noun,English
_{-kIt,Noun,English
_{b,Verb,English
_{g,Noun,English
_{k,Noun,English
_{k-{s,Noun,English
_{k-but,Noun,English
_{k-d$,Noun,English
_{k-n2f,Noun,English
_{k-pQt,Noun,English
_{m,Noun,English
_{m-_#R,Noun,English
_{m-pQt,Noun,English
_{N-gP,Verb,English
_{s-mIn,Noun,English
_{s-p@R,Noun,English
_{v-lIn,Noun,English
_{z,Noun,English
_#-g@n,Noun,English
_#-v@,Noun,English
_#R,Noun,English
_$,Noun,English
_$_,Noun,English
_$-b5n,Noun,English
_$-dH,Noun,English
_$n-dIs,Noun,English
_$nt,Noun,English
_$z,Noun,English
_1-l@R,Noun,English
_1-w$k,Verb,English
_1d,Noun,English
_1ks,Noun,English
_1l,Noun,English
_1l-b3d,Noun,English
_1n,Noun,English
_1p,Noun,English
_2-@nt,Noun,English
_2b,Noun,English
_3-kIn,Noun,English
_3-nI,Noun,English
_3-nP,Noun,English
_3-zI,Noun,English
_3k,Verb,English
_3m,Noun,English
_4,Noun,English
_4-n@R,Noun,English
_4-r2d,Noun,English
_4-stIk,Noun,English
_4n,Verb,English
_4nt,Noun,English
_4s,Noun,English
_4st,Noun,English
_5-k@R,Noun,English
_5-n@,Noun,English
_5k,Noun,English
_5lt,Verb,English
_5nz,Noun,English
_5v,Noun,English
_6l,Noun,English
_6st,Verb,English
_7R,Verb,English
_9-r@R,Noun,English
_9-rI,Noun,English
_9-rIst,Noun,English
_E-l5,Noun,English
_E-lI,Noun,English
_E-mI,Noun,English
_E-nI,Noun,English
_E-rI,Noun,English
_E-st@R,Noun,English
_E-tI,Noun,English
_Ef,Noun,English
_El,Noun,English
_Em,Noun,English
_En,Noun,English
_En-d@R,Noun,English
_En-SH,Noun,English
_En-t2l,Noun,English
_En-trI,Noun,English
_Ent,Noun,English
_Ents,Noun,English
_Es-J@R,Noun,English
_Est,Noun,English
_Et,Noun,English
_Et-s@m,Noun,English
_i-_i,Noun,English
_I-b@R,Verb,English
_I-bIt,Noun,English
