ID,Name,Macroarea,Latitude,Longitude,Glottocode,ISO639P3code,familyID,familyName
67,Tabasaran (Northern dialect Khanag subdialect),NA,42.0198,47.8379,taba1259,tab,nakh1245,Nakh-Daghestanian
68,Tabasaran (Southern dialect),NA,41.8333333333,47.9166666667,sout2752,tab,nakh1245,Nakh-Daghestanian
74,Judeo-Tat,NA,32.33,34.75,jude1256,jdt,indo1319,Indo-European
50,Tindi,NA,42.3316,45.9227,tind1238,tin,nakh1245,Nakh-Daghestanian
70,Tsakhur,NA,41.5916,46.8858,tsak1249,tkr,nakh1245,Nakh-Daghestanian
55,Tsez (Sagada dialect),NA,42.25,45.75,saga1261,ddo,nakh1245,Nakh-Daghestanian
80,Udi,NA,40.9,47.7236,udii1243,udi,nakh1245,Nakh-Daghestanian
159,Udmurt,NA,56.1292,52.6355,udmu1245,udm,ural1272,Uralic
160,Bezhta,NA,42.1206,46.0332,bezh1248,kap,nakh1245,Nakh-Daghestanian
162,Tsez (Mokok dialect),NA,42.2646,45.8096,dido1241,ddo,nakh1245,Nakh-Daghestanian
164,Dargwa (Muiri dialect),NA,42.4257,47.4388,darg1241,dar,nakh1245,Nakh-Daghestanian
165,Lezgian (Quba dialect),NA,41.6666666667,47.8333333333,quba1246,lez,nakh1245,Nakh-Daghestanian
166,Azerbaijani (Terekeme dialect),NA,40.9777,46.4737,nort2697,azj,turk1311,Turkic
172,Panare,NA,6.95035,-65.8483,enap1235,pbh,cari1283,Cariban
173,Macushi,NA,4.31861,-60.2209,macu1259,mbc,cari1283,Cariban
175,Wai Wai,NA,1.50881,-59.1417,waiw1244,waw,cari1283,Cariban
176,Spanish,NA,40.4414,-1.11788,stan1288,spa,indo1319,Indo-European
183,Breton,NA,48.2452,-3.78934,bret1244,bre,indo1319,Indo-European
195,Yiddish,NA,51.75,19.42,east2295,ydd,indo1319,Indo-European
200,Bulgarian,NA,43.3646,25.047,bulg1262,bul,indo1319,Indo-European
201,Serbo-Croatian,NA,NA,NA,sout1528,hbs,indo1319,Indo-European
204,Russian,NA,59,50,russ1263,rus,indo1319,Indo-European
205,Albanian (Tosk variety),NA,41,20,tosk1239,als,indo1319,Indo-European
206,Armenian (Eastern variety),NA,40,45,nucl1235,hye,indo1319,Indo-European
207,Armenian (Western variety),NA,40,45,homs1234,hye,indo1319,Indo-European
212,Romani,NA,46.8191,14.8451,vlax1238,rmy,indo1319,Indo-European
214,Persian,NA,28.659300000000002,55.1586,west2369,pes,indo1319,Indo-European
217,Negerhollands,NA,18.3416,-64.8922,nege1244,dcr,indo1319,Indo-European
218,Jamaican Creole (Limonese Creole dialect),NA,18.13,-77.2612,jama1262,jam,indo1319,Indo-European
219,Basque,NA,43.2787,-1.31622,basq1248,eus,basq1248,Basque
226,Zuni,NA,35.0056,-108.782,zuni1245,zun,zuni1245,Zuni
234,Proto Polynesian,NA,NA,NA,poly1242,?,aust1307,Austronesian
235,Hawaiian,NA,19.6297,-155.43,hawa1245,haw,aust1307,Austronesian
238,Rapa Nui,NA,-27.113,-109.342,rapa1244,rap,aust1307,Austronesian
239,Rotuman,NA,-12.5008,177.066,rotu1241,rtm,aust1307,Austronesian
240,Tongan,NA,-21.17,-175.25,tong1325,ton,aust1307,Austronesian
244,Páez,NA,2.61516,-76.3125,paez1247,pbb,paez1247,Páez
245,Cayapa,NA,0.71489,-79.0508,chac1249,cbi,barb1265,Barbacoan
248,Epena,NA,4.25877,-77.3566,epen1239,sja,choc1280,Chocoan
249,Puinave,NA,3.92974,-67.6886,puin1248,pui,puin1248,Puinave
251,Yaruro,NA,7.10677,-67.5996,pume1238,yae,pume1238,Pumé
252,Ninam (Shirishana variety),NA,4.03894,-62.7801,nina1238,shb,yano1268,Yanomamic
253,Yanomámi,NA,2.48999,-62.8522,yano1262,wca,yano1268,Yanomamic
254,Cofán,NA,0.276675,-77.0643,cofa1242,con,cofa1242,Cofán
