Name,geo.cluster,ID,latitude,longitude,family
Sanapaná (Enlhet dialect),17,299,-22.11454,-58.90698,Bookkeeping
Southern Tai (Songkhla variety),19,402,6.85668,99.7031,Tai-Kadai
Thai (Korat variety),19,403,6.85668,99.7031,Tai-Kadai
Khamuang (Chiang Mai variety),19,404,18.857495,100.20739,Tai-Kadai
Dehong,19,405,21.7837,99.722,Tai-Kadai
Maonan,19,416,25.0169,108.024,Tai-Kadai
Chadong,19,418,25.23532,109.96041,Tai-Kadai
Langja Buyang,19,422,23.0105,104.449,Tai-Kadai
Ecun Buyang,19,423,23.0105,104.449,Tai-Kadai
Mahasu Pahari (Kotghari dialect),20,704,31.0088,77.5317,Indo-European
Sanapaná (Angaité dialect),NA,298,NA,NA,Bookkeeping
