ID,Name,Macroarea,Latitude,Longitude,Glottocode,ISO639P3code,familyID,familyName,Morph+AC0-marker+AC0-Action,COMMENT,
501,Botlikh (Miarso dialect),NA,42.7658,46.1944,botl1242,bph,nakh1245,Nakh+AC0-Daghestanian,,,
503,Dargwa (Chirag dialect),NA,42.25,47.4166666667,chir1284,dar,nakh1245,Nakh+AC0-Daghestanian,,,
504,Dargwa (Gapshima Shukti dialect),NA,42.4257,47.4388,darg1241,dar,nakh1245,Nakh+AC0-Daghestanian,,,
505,Dargwa (Gapshima dialect),NA,42.4257,47.4388,darg1241,dar,nakh1245,Nakh+AC0-Daghestanian,,,
506,Dargwa (Gubden dialect),NA,42.4257,47.4388,darg1241,dar,nakh1245,Nakh+AC0-Daghestanian,,,
507,Dargwa (Kadar dialect),NA,42.4257,47.4388,darg1241,dar,nakh1245,Nakh+AC0-Daghestanian,,,
508,Dargwa (Megeb dialect),NA,42.4257,47.4388,darg1241,dar,nakh1245,Nakh+AC0-Daghestanian,,,
509,Dargwa (Mekegi dialect),NA,42.4257,47.4388,darg1241,dar,nakh1245,Nakh+AC0-Daghestanian,,,
510,Dargwa (Mugi dialect),NA,42.4257,47.4388,darg1241,dar,nakh1245,Nakh+AC0-Daghestanian,,,
512,+ACI-Dargwa (Tsudakhar dialect, Tanty subdialect)+ACI-,NA,42.25,47.4166666667,cuda1238,dar,nakh1245,Nakh+AC0-Daghestanian,,
513,Dargwa (Tsudakhar dialect),NA,42.25,47.4166666667,cuda1238,dar,nakh1245,Nakh+AC0-Daghestanian,,,
514,Dargwa (Urakhi dialect),NA,42.25,47.4166666667,urax1238,dar,nakh1245,Nakh+AC0-Daghestanian,,,
515,Dargwa (Usisha dialect),NA,42.4257,47.4388,darg1241,dar,nakh1245,Nakh+AC0-Daghestanian,,,
516,Ingush,NA,42.9525,44.158,ingu1240,inh,nakh1245,Nakh+AC0-Daghestanian,TRUE,"Not extremely reliable, but its there",
517,Bezhta (Khasharkhota dialect),NA,42.0833333333,46.1666666667,khoc1238,kap,nakh1245,Nakh+AC0-Daghestanian,,,
518,Kryz,NA,41.1811,48.1846,kryt1240,kry,nakh1245,Nakh+AC0-Daghestanian,TRUE,,
522,Kumyk (Karabudakhkent dialect),NA,43,47,kumy1244,kum,turk1311,Turkic,,,
523,Kumyk (Ter Bragun dialect),NA,43,47,kumy1244,kum,turk1311,Turkic,,,
525,Lak (Balkhar dialect),NA,42.1328,47.0809,lakk1252,lbe,nakh1245,Nakh+AC0-Daghestanian,,,
526,Lak (Shali dialect),NA,42.1328,47.0809,lakk1252,lbe,nakh1245,Nakh+AC0-Daghestanian,,,
527,Rutul (Borchino Khnow dialect),NA,41.6187,47.3244,rutu1240,rut,nakh1245,Nakh+AC0-Daghestanian,,,
528,Rutul (Ikhrek dialect),NA,41.5,47.4166666667,ixre1238,rut,nakh1245,Nakh+AC0-Daghestanian,,,
529,Rutul (Mukhrek) dialect,NA,41.5,47.4166666667,ixre1238,rut,nakh1245,Nakh+AC0-Daghestanian,,,
530,Rutul (Shinaz dialect),NA,41.5,47.4166666667,shin1265,rut,nakh1245,Nakh+AC0-Daghestanian,,,
531,+ACI-Bezhta (Tlyadal dialect, Karauzek subdialect)+ACI-,NA,42.0833333333,46.1666666667,tlya1238,kap,nakh1245,Nakh+AC0-Daghestanian,,
532,Tsakhur (Gelmets dialect),NA,41.5916,46.8858,tsak1249,tkr,nakh1245,Nakh+AC0-Daghestanian,,,
533,Tsova+AC0-Tush,NA,42.1806,45.344,bats1242,bbl,nakh1245,Nakh+AC0-Daghestanian,TRUE,,
534,Archi (variety 2),NA,42.3239,46.8267,arch1244,aqc,nakh1245,Nakh+AC0-Daghestanian,TRUE,,
701,Bengali,NA,24,90,beng1280,ben,indo1319,Indo+AC0-European,TRUE,,
702,Hindi,NA,25,77,hind1269,hin,indo1319,Indo+AC0-European,TRUE,,
705,Marathi,NA,17.9344,76.6665,mara1378,mar,indo1319,Indo+AC0-European,TRUE,,
707,Punjabi,NA,30.0948,75.3474,west2386,pnb,indo1319,Indo+AC0-European,TRUE,"lookout: most words end with ~a, regardless of class",
708,Tamil,NA,10.520219,78.825989,tami1289,tam,drav1251,Dravidian,TRUE,,
806,Mang'an B. (MNN),NA,NA,NA,NA,zng,NA,NA,,,
811,Paliu,NA,24.7013,104.955,boly1239,ply,aust1305,Austroasiatic,FALSE,,
816,Vietnamese,NA,18.3887,106.757,viet1252,vie,aust1305,Austroasiatic,FALSE,,
824,Phu Tho M (PHU),NA,NA,NA,NA,mqm,NA,NA,,,
825,Kha Poong,NA,NA,NA,khap1242,pkt,aust1305,Austroasiatic,FALSE,,
826,Malieng,NA,NA,NA,mali1278,scb,aust1305,Austroasiatic,FALSE,,
829,Nyakur,NA,15.8909,101.515,nyah1250,cbn,aust1305,Austroasiatic,FALSE,,
832,Kasong,NA,11.936,104.136,suoy1242,syo,aust1305,Austroasiatic,FALSE,,
833,Samre,NA,13.479,103.978,samr1245,sxm,book1242,Bookkeeping,FALSE,,
836,Surin Khmer,NA,NA,NA,suri1265,kxm,aust1305,Austroasiatic,FALSE,,
32,Andi,NA,42.8078,46.2919,andi1255,ani,nakh1245,Nakh+AC0-Daghestanian,TRUE,,
26,Avar (Batlukh dialect),NA,42.5,46.5,batl1238,ava,nakh1245,Nakh+AC0-Daghestanian,,,
30,Avar (Zakataly dialect),NA,42.5,46.5,zaka1239,ava,nakh1245,Nakh+AC0-Daghestanian,,,
37,Botlikh,NA,42.7658,46.1944,botl1242,bph,nakh1245,Nakh+AC0-Daghestanian,TRUE,,
60,Dargwa (Khajdak dialect),NA,42.25,47.4166666667,kajt1238,dar,nakh1245,Nakh+AC0-Daghestanian,,,
52,Hunzib,NA,42.0808,46.1369,hunz1247,huz,nakh1245,Nakh+AC0-Daghestanian,TRUE,,
39,Karata,NA,42.6501,46.3151,kara1474,kpt,nakh1245,Nakh+AC0-Daghestanian,TRUE,,
40,Karata (Tokitin dialect),NA,42.5833333333,46.3333333333,toki1238,kpt,nakh1245,Nakh+AC0-Daghestanian,,,
72,Kumyk,NA,43,47,kumy1244,kum,turk1311,Turkic,TRUE,,
151,Selkup,NA,59.9409,82.3004,selk1253,sel,ural1272,Uralic,TRUE,,
55,Tsez (Sagada dialect),NA,42.25,45.75,saga1261,ddo,nakh1245,Nakh+AC0-Daghestanian,,,
160,Bezhta,NA,42.1206,46.0332,bezh1248,kap,nakh1245,Nakh+AC0-Daghestanian,TRUE,,
165,Lezgian (Quba dialect),NA,41.6666666667,47.8333333333,quba1246,lez,nakh1245,Nakh+AC0-Daghestanian,,,
174,De'kwana,NA,4.70705,+AC0-64.3877,maqu1238,mch,cari1283,Cariban,FALSE,,
220,Hausa,NA,11.1513,8.7804,haus1257,hau,afro1255,Afro+AC0-Asiatic,TRUE,,
221,Polci,NA,10.0258,9.53362,polc1243,plj,afro1255,Afro+AC0-Asiatic,FALSE,,
222,Nahuatl (Sierra de Zacapoaxtla variety),NA,20.1554,+AC0-97.5556,high1278,azz,utoa1244,Uto+AC0-Aztecan,TRUE,,
223,Chatino (Zacatepec variety),NA,16.08,+AC0-97.3069,zaca1242,ctz,otom1299,Otomanguean,TRUE,,
224,Karok,NA,41.8228,+AC0-123.315,karo1304,kyh,karo1304,Karok,FALSE,,
225,Seri,NA,28.9877,+AC0-112.384,seri1257,sei,seri1257,Seri,FALSE,,
230,Nuu+AC0-chah+AC0-nulth,NA,50.1666666667,+AC0-127.166666667,nuuc1236,nuk,waka1280,Wakashan,FALSE,,
231,Bella Coola,NA,52.3448,+AC0-126.689,bell1243,blc,sali1255,Salishan,FALSE,,
243,Muisca,NA,6.24999,+AC0-74.1666,chib1270,chb,chib1249,Chibchan,TRUE,,
246,Colorado,NA,+AC0-0.21181,+AC0-79.2347,colo1256,cof,barb1265,Barbacoan,FALSE,,
253,Yanom+//0Aw//9AKE-mi,NA,2.48999,+AC0-62.8522,yano1262,wca,yano1268,Yanomamic,TRUE,,
255,Waorani,NA,+AC0-1.12312,+AC0-76.683,waor1240,auc,waor1240,Waorani,TRUE,,
262,Goajiro,NA,10.2252,+AC0-71.8101,wayu1243,guc,araw1281,Arawakan,TRUE,,
263,Ignaciano,NA,+AC0-15.1188,+AC0-65.3993,igna1246,ign,araw1281,Arawakan,TRUE,,
265,Trinitario,NA,+AC0-15.3331,+AC0-65.4096,trin1274,trn,araw1281,Arawakan,TRUE,,
268,Yavitero,NA,2.800281,+AC0-68.084219,yavi1244,yvt,araw1281,Arawakan,TRUE,,
269,Aymara,NA,+AC0-17,+AC0-68.5,cent2142,ayr,ayma1253,Aymaran,TRUE,,
271,Moset+//0Aw//9AKk-n,NA,+AC0-14.6445,+AC0-67.8376,mose1249,cas,mose1249,Moset+//0Aw//9AKk-n+AC0-Chiman+//0Aw//9AKk-,FALSE,,
272,Araona,NA,+AC0-12.4242,+AC0-67.7293,arao1248,aro,pano1259,Pano+AC0-Tacanan,FALSE,,
273,Cavine+//0Aw//9ALE-a,NA,+AC0-13.3544,+AC0-66.6277,cavi1250,cav,pano1259,Pano+AC0-Tacanan,TRUE,,
279,Ch+//0Aw//9AKE-cobo,NA,+AC0-12.133,+AC0-66.7164,chac1251,cao,pano1259,Pano+AC0-Tacanan,FALSE,,
281,Shipibo+AC0-Conibo,NA,+AC0-7.17105,+AC0-74.8219,ship1254,shp,pano1259,Pano+AC0-Tacanan,TRUE,,
282,Yaminahua,NA,+AC0-9.8846,+AC0-71.5964,yami1256,yaa,pano1259,Pano+AC0-Tacanan,TRUE,,
