language,Family,Affixes.Removed.Action,Suffixes.Removed.Action,Affixes.Removed.Thing,Suffixes.Removed.Thing,original.number.words,adjusted.number.words,Number.Homophones
Sanapaná (Angaité dialect),Bookkeeping,2,2,1,1,733,670,43
Sanapaná (Enlhet dialect),Bookkeeping,3,3,0,0,1169,1143,9
Sanchong Kelao,Tai-Kadai,0,0,0,0,270,270,0
Selknam,Chon,0,1,0,1,656,583,31
Selkup,Uralic,0,3,0,0,866,824,8
Serbo-Croatian,Indo-European,0,3,0,1,1677,1582,52
Seri,Hokan,1,0,0,0,712,679,9
Shan,Tai-Kadai,0,0,0,0,520,520,0
Shipibo-Conibo,Panoan,0,3,0,1,1029,857,79
Siona,Tucanoan,0,2,0,0,791,737,13
Sirionó,Tupian,0,1,1,1,740,567,68
Southern Tai (Songkhla variety),Tai-Kadai,0,0,0,0,546,546,0
Spanish,Indo-European,0,2,0,1,1537,1493,34
Sui,Tai-Kadai,0,0,0,0,676,676,0
Surin Khmer,Austro-Asiatic,0,0,0,0,668,668,0
Swedish,Indo-European,0,1,0,0,1789,1772,3
Tabasaran (Northern dialect Khanag subdialect),Nakh-Daghestanian,0,2,0,0,1047,1000,12
Tabasaran (Southern dialect),Nakh-Daghestanian,0,2,0,0,1075,1037,7
Tacana,Tacanan,0,1,0,1,909,830,37
Tai Khün,Tai-Kadai,0,0,0,0,611,611,0
Tai Lü,Tai-Kadai,0,0,0,0,468,468,0
Tamil,Dravidian,0,4,0,2,1104,1006,34
Tehuelche,Chon,0,0,0,1,627,560,25
Telugu,Dravidian,0,2,0,0,3433,3381,40
Thai (Korat variety),Tai-Kadai,0,0,0,0,538,538,0
Tibetan,Sino-Tibetan,0,0,0,0,535,535,0
Tindi,Nakh-Daghestanian,2,3,0,0,1072,926,16
Tlingit,Na-Dene,0,0,0,0,991,991,0
Toba,Guaicuruan,0,0,2,0,1071,1009,33
Tongan,Austronesian,0,1,0,1,1187,1111,44
Trinitario,Arawakan,0,2,0,0,793,782,7
Trumai,Trumai,0,0,0,0,499,499,0
Tsakhur,Nakh-Daghestanian,0,2,0,0,1118,1109,5
Tsez (Mokok dialect),Nakh-Daghestanian,0,1,0,0,1016,1015,1
Tsez (Sagada dialect),Nakh-Daghestanian,0,1,0,0,978,978,0
Tsimshian,Penutian,0,0,0,0,729,729,0
Tsova-Tush,Nakh-Daghestanian,0,1,0,0,1243,1241,1
Tuamotuan,Austronesian,2,0,0,1,1155,935,80
Tum,Austro-Asiatic,0,0,0,0,538,538,0
Tuyuca,Tucanoan,0,1,0,0,832,807,20
Udi,Nakh-Daghestanian,0,3,0,0,1080,1076,1
Udmurt,Uralic,0,3,0,0,1062,1043,8
Uncunwee,Eastern Sudanic,0,1,0,0,814,803,7
Upper Chehalis,Salishan,0,0,0,0,288,288,0
Vietnamese,Austro-Asiatic,0,0,0,0,365,365,0
Wa,Austro-Asiatic,0,1,0,1,703,688,15
Wai Wai,Cariban,0,0,0,0,734,734,0
Waorani,Waorani,0,1,0,0,583,560,2
Wapishana,Arawakan,0,2,0,0,870,851,3
Waurá,Arawakan,0,2,0,1,992,936,31
