language,Number.Homophones
Aché,27
Aghul,15
Aguaruna,38
Ahlao Th,7
Akhvakh (Northern dialect),70
Akhvakh (Southern dialect),73
Albanian (Tosk variety),79
Andi,79
Araona,74
Archi (variety 1),22
Archi (variety 2),18
Armenian (Eastern variety),42
Armenian (Western variety),34
Avar,30
Avestan,42
Aymara,60
Ayoreo,66
Azerbaijani,22
Bagvalal,54
Barí,6
Basque,68
Baure,6
Bella Coola,18
Bengali,47
Bezhta,15
Botlikh,61
Breton,58
Budukh,28
Bulang,29
Bulgarian,59
Canela,1
Cashibo,39
Catalan,60
Catuquina,74
Cavineña,52
Cayapa,52
Cayuvava,28
Central Thai,57
Chácobo,61
Chamalal,74
Chatino (Zacatepec variety),39
Chechen,67
Chipaya,76
Chiriguano,49
Chong,30
Chorote,19
Cofán,56
Colorado,74
Cuoi,52
Czech,35
Danish,50
Dargwa,56
De'kwana,3
Dehong,65
Dutch,47
Ecun Buyang,26
Embera,26
English,36
Epena,34
Erzya Mordvin,38
Ese Ejja,36
Estonian,40
Finnish,26
French,30
German,77
Goajiro,32
Godoberi,70
Guaraní,63
Gününa Küne,10
Hausa,73
Hawaiian,151
Hindi,82
Hinuq,22
Hlai (Baoting variety),60
Hungarian,23
Hunzib,31
Iduh,22
Ignaciano,45
Ingush,31
Italian,58
Itonama,5
Jamaican Creole (Limonese Creole dialect),65
Judeo-Tat,37
Kaingáng,49
Karajá,10
Karata,50
Karok,24
Kasong,16
Keme (Kemie variety),51
Kha Poong,29
Khamuang (Chiang Mai variety),60
Khanty,33
Khinalug,26
Khwarshi (Inkhokvari dialect),21
Khwarshi (Khwarshi dialect),35
Komi,58
Kryz,42
Kumyk,40
Kunza,18
Lak,43
Lakkia,68
Langja Buyang,35
Latvian,47
Lengua,14
Lezgian,24
LiHa,74
Maca,15
Macushi,22
Mahasu Pahari (Kotghari dialect),9
Malieng,27
Mang Ch,45
Mansi,47
Maori,130
Mapudungun,43
Marathi,65
Mari,41
Marquesan,26
Mashco Piro,10
Mlabri,21
Mocoví,30
Modern Greek,44
Mosetén,19
Movima,14
Muisca,17
Mundurukú,6
Nahuatl (Sierra de Zacapoaxtla variety),56
Nenets,34
Nepali,33
Ninam (Shirishana variety),18
Nivaclé,17
Nogai,56
Northern Haida,46
Northern Saami,44
Nung-Fengshan,52
Nung-Lazhai,84
Nung-Ninbei,59
Nuu-chah-nulth,66
Nyakur,18
Ossetic,29
Pacaas Novos,4
Páez,31
Paliu,23
Panare,14
Pear,22
Persian,53
Phong,42
Pilagá,37
Polci,38
Polish,27
Portuguese,76
Puinave,38
Punjabi,53
Pusing,19
Qau Kelao,10
Qawasqar,14
Rapa Nui,70
Romani,74
Romanian,16
Rotuman,81
Rumai,20
Russian,24
Rutul,25
Samre,20
Sanapaná (Angaité dialect),41
Sanapaná (Enlhet dialect),23
Sanchong Kelao,22
Selknam,40
Selkup,39
Serbo-Croatian,71
Seri,28
Shan,55
Shipibo-Conibo,123
Siona,73
Sirionó,44
Southern Tai (Songkhla variety),64
Spanish,82
Sui,62
Surin Khmer,24
Swedish,43
Tabasaran (Northern dialect Khanag subdialect),26
Tabasaran (Southern dialect),28
Tacana,53
Tai Khün,83
Tai Lü,51
Tamil,42
Tehuelche,33
Telugu,181
Thai (Korat variety),55
Tibetan,13
Tindi,76
Tlingit,96
Toba,40
Tongan,82
Trinitario,17
Trumai,10
Tsakhur,20
Tsez (Mokok dialect),35
Tsez (Sagada dialect),36
Tsimshian,7
Tsova-Tush,14
Tuamotuan,63
Tum,41
Tuyuca,35
Udi,31
Udmurt,59
Uncunwee,17
Upper Chehalis,24
Vietnamese,13
Wa,29
Wai Wai,15
Waorani,8
Wapishana,34
Waurá,58
Wayampi,70
Wichí,18
Xu,17
Yagán,25
Yagua,107
Yaminahua,85
Yanomámi,12
Yaruro,24
Yavitero,31
Yiddish,55
Yuwana,13
Zhuang-Longzhou,115
Zuni,40
