phon,englishPOS,language
_{b,Verb,English
_{bd,Verb,English
_{bz,Noun,English
_{g,Noun,English
_{gd,Verb,English
_{gz,Noun,English
_{k,Noun,English
_{ks,Noun,English
_{m,Noun,English
_{md,Verb,English
_{mz,Noun,English
_{z,Noun,English
_#d,Verb,English
_#R,Noun,English
_#z,Noun,English
_$,Noun,English
_$_,Noun,English
_$d,Verb,English
_$nt,Noun,English
_$nts,Noun,English
_$z,Noun,English
_1d,Noun,English
_1ks,Noun,English
_1l,Noun,English
_1ld,Verb,English
_1lz,Noun,English
_1n,Noun,English
_1p,Noun,English
_1z,Noun,English
_2b,Noun,English
_2bz,Noun,English
_2v,Noun,English
_3k,Noun,English
_3ks,Noun,English
_3kt,Verb,English
_3m,Noun,English
_3mz,Noun,English
_4,Noun,English
_4n,Verb,English
_4nd,Verb,English
_4nts,Noun,English
_4nz,Verb,English
_4s,Noun,English
_4st,Noun,English
_4sts,Noun,English
_4z,Noun,English
_5k,Noun,English
_5ks,Noun,English
_5kt,Verb,English
_5lt,Noun,English
_5lts,Noun,English
_5nz,Noun,English
_5v,Noun,English
_6l,Noun,English
_6lz,Noun,English
_6st,Noun,English
_7d,Verb,English
_7R,Verb,English
_7z,Noun,English
_Ef,Noun,English
_El,Noun,English
_Eld,Verb,English
_Elz,Noun,English
_Em,Noun,English
_Emz,Noun,English
_En,Noun,English
_Ent,Noun,English
_Ents,Noun,English
_Est,Noun,English
_Ests,Noun,English
_Et,Noun,English
_Ets,Noun,English
_Ib,Noun,English
_Ibd,Verb,English
_Ibz,Noun,English
_Ig,Noun,English
_Igd,Verb,English
_Igz,Noun,English
_Il,Noun,English
_Im,Noun,English
_Imz,Noun,English
_in,Noun,English
_In,Noun,English
_INks,Noun,English
_INkst,Verb,English
_inz,Noun,English
_Inz,Noun,English
_ip,Noun,English
_Ip,Noun,English
_ips,Noun,English
_Ist,Noun,English
_iz,Noun,English
_Qb,Noun,English
_Qbz,Noun,English
_Qgd,Verb,English
_Qgz,Noun,English
_Qn,Noun,English
_Qnz,Noun,English
_Qs,Noun,English
_QS,Verb,English
_Qt,Verb,English
_Qts,Verb,English
_u,Noun,English
_ul,Noun,English
_ulz,Noun,English
_un,Noun,English
_unz,Noun,English
_us,Noun,English
_ut,Noun,English
_uz,Noun,English
_V_,Noun,English
_V_d,Verb,English
_Vg,Noun,English
_Vgd,Verb,English
_Vgz,Noun,English
_Vmp,Verb,English
_Vmps,Verb,English
_Vmpt,Verb,English
_VNk,Noun,English
_VNks,Noun,English
_VNkt,Verb,English
{d,Verb,English
{dz,Verb,English
{ks,Noun,English
{kt,Noun,English
{kts,Noun,English
{l,Noun,English
{lbz,Noun,English
{lp,Noun,English
{lps,Noun,English
{m,Verb,English
{mp,Noun,English
{mps,Noun,English
{Nst,Noun,English
{nt,Noun,English
{nts,Noun,English
{ps,Noun,English
{s,Noun,English
{S,Noun,English
#J,Noun,English
#Jt,Verb,English
#k,Noun,English
#ks,Noun,English
#m,Noun,English
#mz,Noun,English
#nts,Noun,English
#R,Verb,English
#s,Noun,English
#sk,Verb,English
#sks,Verb,English
#skt,Verb,English
#t,Noun,English
#ts,Noun,English
#z,Noun,English
$,Noun,English
$b,Noun,English
$bz,Noun,English
$d,Verb,English
$k,Noun,English
$lz,Noun,English
$t,Verb,English
$z,Noun,English
1_,Noun,English
1d,Noun,English
1dz,Noun,English
1J,Noun,English
1k,Noun,English
1ks,Noun,English
1kt,Verb,English
1l,Verb,English
1ld,Verb,English
1m,Noun,English
1md,Verb,English
1mz,Noun,English
1p,Noun,English
1ps,Noun,English
1pt,Verb,English
1s,Noun,English
1ts,Noun,English
1tTs,Noun,English
1z,Noun,English
2,Noun,English
2dz,Noun,English
2lz,Noun,English
2s,Noun,English
2st,Verb,English
2z,Noun,English
3_,Noun,English
3_d,Verb,English
3d,Verb,English
3gz,Noun,English
3k,Verb,English
3ks,Verb,English
3kt,Verb,English
3l,Noun,English
3lz,Noun,English
3n,Verb,English
3nd,Verb,English
3nz,Verb,English
3R,Verb,English
3s,Noun,English
3T,Noun,English
3Ts,Noun,English
3Tt,Verb,English
3z,Verb,English
4l,Noun,English
4ld,Verb,English
4lz,Noun,English
4Nks,Noun,English
5d,Verb,English
5dz,Noun,English
5Dz,Noun,English
5f,Noun,English
5fs,Noun,English
5k,Noun,English
5ks,Noun,English
5m,Noun,English
5mz,Noun,English
5nd,Verb,English
5nz,Verb,English
5st,Noun,English
5t,Noun,English
5T,Noun,English
5ts,Noun,English
5z,Verb,English
6l,Noun,English
6lz,Noun,English
6st,Verb,English
6sts,Verb,English
6ts,Verb,English
7R,Noun,English
7z,Noun,English
8d,Verb,English
8R,Noun,English
8z,Noun,English
b{_,Noun,English
b{g,Noun,English
b{gd,Verb,English
b{gz,Noun,English
b{J,Noun,English
b{ks,Noun,English
b{kt,Verb,English
b{n,Noun,English
b{N,Noun,English
b{nd,Noun,English
b{Nd,Verb,English
b{ndz,Noun,English
b{Nk,Noun,English
b{Nks,Noun,English
b{Nkt,Verb,English
b{nz,Noun,English
b{Nz,Noun,English
b{s,Noun,English
b{S,Verb,English
b{st,Noun,English
b{St,Verb,English
b{t,Noun,English
b{ts,Noun,English
b#_,Noun,English
b#_d,Verb,English
b#b,Noun,English
b#bz,Noun,English
b#d,Verb,English
b#dz,Noun,English
b#Dz,Noun,English
b#k,Noun,English
b#ks,Noun,English
b#kt,Verb,English
b#m,Noun,English
b#n,Noun,English
b#nz,Noun,English
b#R,Noun,English
b#sk,Verb,English
