Form,transcription,englishName,language,englishPOS,ontologicalCategory,semanticField,languageFamily,alt_transcription,alt_form,phon,method
pronto,StandardOrth,ready,Portuguese,other,Property,Time,Indo-European,NA,NA,pɾonto,epitran
gata,StandardOrth,ready,Romanian,other,Property,Time,Indo-European,NA,NA,ɡata,epitran
färdig,StandardOrth,ready,Swedish,other,Property,Time,Indo-European,NA,NA,fɛrdiːɡ,epitran
bereid,StandardOrth,ready,Dutch,other,Property,Time,Indo-European,NA,NA,beːrɛjt,epitran
gereed,StandardOrth,ready,Dutch,other,Property,Time,Indo-European,NA,NA,ɣeːreːt,epitran
bereit,StandardOrth,ready,German,other,Property,Time,Indo-European,Original (M. R. Key),NA,beːrajt,epitran
fertig,StandardOrth,ready,German,other,Property,Time,Indo-European,Original (M. R. Key),NA,fərtik,epitran
gotowy,StandardOrth,ready,Polish,other,Property,Time,Indo-European,NA,NA,ɡɔtɔvɨ,epitran
кæрон кæнын,CyrillTrans,"cease, stop",Ossetic,verb,Action/Process,Time,Indo-European,NA,NA,kəron kənɨn,manual(w)
уадзын,CyrillTrans,"cease, stop",Ossetic,verb,Action/Process,Time,Indo-European,NA,NA,uad͡zɨn,manual(w)
уромын,CyrillTrans,"cease, stop",Ossetic,verb,Action/Process,Time,Indo-European,NA,NA,uromɨn,manual(w)
лæууын,CyrillTrans,"cease, stop",Ossetic,verb,Action/Process,Time,Indo-European,NA,NA,ləuuɨn,manual(w)
smettere,StandardOrth,"cease, stop",Italian,verb,Action/Process,Time,Indo-European,NA,NA,smetːere,epitran
cesser,StandardOrth,"cease, stop",French,verb,Action/Process,Time,Indo-European,NA,NA,sɛse,epitran
s'arrêter,StandardOrth,"cease, stop",French,verb,Action/Process,Time,Indo-European,NA,NA,s'arrɛte,epitran
parar,StandardOrth,"cease, stop",Catalan,verb,Action/Process,Time,Indo-European,NA,NA,paɾaɾ,epitran
parar,StandardOrth,"cease, stop",Portuguese,verb,Action/Process,Time,Indo-European,NA,NA,pɐɾɐɾ,epitran
cessar,StandardOrth,"cease, stop",Portuguese,verb,Action/Process,Time,Indo-European,NA,NA,sɛʃsɐɾ,epitran
înceta,StandardOrth,"cease, stop",Romanian,verb,Action/Process,Time,Indo-European,NA,NA,ɨnt͡ʃeta,epitran
upp-höra,StandardOrth,"cease, stop",Swedish,verb,Action/Process,Time,Indo-European,NA,NA,ɵp-høːrɑː,epitran
sluta,StandardOrth,"cease, stop",Swedish,verb,Action/Process,Time,Indo-European,NA,NA,slʉːtɑː,epitran
ophouden,StandardOrth,"cease, stop",Dutch,verb,Action/Process,Time,Indo-European,NA,NA,ɔfɑwʏdɛn,epitran
stoppen,StandardOrth,"cease, stop",Dutch,verb,Action/Process,Time,Indo-European,NA,NA,stɔppɛn,epitran
aufhören,StandardOrth,"cease, stop",German,verb,Action/Process,Time,Indo-European,Original (M. R. Key),NA,awfhøoːrən,epitran
(za)przestać,StandardOrth,"cease, stop",Polish,verb,Action/Process,Time,Indo-European,NA,NA,(za)pʐɛstat͡ɕ,epitran
zatrzymać,StandardOrth,"cease, stop",Polish,verb,Action/Process,Time,Indo-European,NA,NA,zatʐɨmat͡ɕ,epitran
æххæст кæнын,CyrillTrans,finish,Ossetic,verb,Action/Process,Time,Indo-European,NA,NA,əχχəst kənɨn,manual(w)
фæуын,CyrillTrans,finish,Ossetic,verb,Action/Process,Time,Indo-European,NA,NA,fəuɨn,manual(w)
finire,StandardOrth,finish,Italian,verb,Action/Process,Time,Indo-European,NA,NA,finire,epitran
finir,StandardOrth,finish,French,verb,Action/Process,Time,Indo-European,NA,NA,finir,epitran
terminer,StandardOrth,finish,French,verb,Action/Process,Time,Indo-European,NA,NA,tɛrmine,epitran
finalitzar,StandardOrth,finish,Catalan,verb,Action/Process,Time,Indo-European,NA,NA,finalid͡zaɾ,epitran
acabar,StandardOrth,finish,Catalan,verb,Action/Process,Time,Indo-European,NA,NA,akabaɾ,epitran
completar,StandardOrth,finish,Portuguese,verb,Action/Process,Time,Indo-European,NA,NA,komplɛtɐɾ,epitran
acabar,StandardOrth,finish,Portuguese,verb,Action/Process,Time,Indo-European,NA,NA,ɐkɐbɐɾ,epitran
isprăvi,StandardOrth,finish,Romanian,verb,Action/Process,Time,Indo-European,NA,NA,isprəvi,epitran
sfirşi,StandardOrth,finish,Romanian,verb,Action/Process,Time,Indo-European,NA,NA,sfirʃi,epitran
afsluta,StandardOrth,finish,Swedish,verb,Action/Process,Time,Indo-European,NA,NA,ɐfslʉːtɑː,epitran
avsluta,StandardOrth,finish,Swedish,verb,Action/Process,Time,Indo-European,NA,NA,ɐvslʉːtɑː,epitran
sluta,StandardOrth,finish,Swedish,verb,Action/Process,Time,Indo-European,NA,NA,slʉːtɑː,epitran
ända,StandardOrth,finish,Swedish,verb,Action/Process,Time,Indo-European,NA,NA,ɛndɑː,epitran
voleindigen,StandardOrth,finish,Dutch,verb,Action/Process,Time,Indo-European,NA,NA,voːlɛjndiːɣɛn,epitran
eindigen,StandardOrth,finish,Dutch,verb,Action/Process,Time,Indo-European,NA,NA,ɛjndiːɣɛn,epitran
afmaken,StandardOrth,finish,Dutch,verb,Action/Process,Time,Indo-European,NA,NA,ɑfmaːkɛn,epitran
vollenden,StandardOrth,finish,German,verb,Action/Process,Time,Indo-European,Original (M. R. Key),NA,foləndən,epitran
beenden,StandardOrth,finish,German,verb,Action/Process,Time,Indo-European,Original (M. R. Key),NA,beːndən,epitran
beendigen,StandardOrth,finish,German,verb,Action/Process,Time,Indo-European,Original (M. R. Key),NA,beːndiːeɡən,epitran
(do-,StandardOrth,finish,Polish,verb,Action/Process,Time,Indo-European,NA,NA,(dɔ-,epitran
s-,StandardOrth,finish,Polish,verb,Action/Process,Time,Indo-European,NA,NA,s-,epitran
wy-) kończyć,StandardOrth,finish,Polish,verb,Action/Process,Time,Indo-European,NA,NA,vɨ-) kɔɲt͡ʂɨt͡ɕ,epitran
кæрон кæнын,CyrillTrans,end (temporal),Ossetic,noun,Person/Thing,Time,Indo-European,NA,NA,kəron kənɨn,manual(w)
хицæн кæнын,CyrillTrans,end (temporal),Ossetic,noun,Person/Thing,Time,Indo-European,NA,NA,χit͡sən kənɨn,manual(w)
fine,StandardOrth,end (temporal),Italian,noun,Person/Thing,Time,Indo-European,NA,NA,fine,epitran
fin,StandardOrth,end (temporal),French,noun,Person/Thing,Time,Indo-European,NA,NA,fɛ̃,epitran
fi,StandardOrth,end (temporal),Catalan,noun,Person/Thing,Time,Indo-European,NA,NA,fi,epitran
fim,StandardOrth,end (temporal),Portuguese,noun,Person/Thing,Time,Indo-European,NA,NA,fĩ,epitran
sfîrşit,StandardOrth,end (temporal),Romanian,noun,Person/Thing,Time,Indo-European,NA,NA,sfɨrʃit,epitran
ände,StandardOrth,end (temporal),Swedish,noun,Person/Thing,Time,Indo-European,NA,NA,ɛndeː,epitran
slut,StandardOrth,end (temporal),Swedish,noun,Person/Thing,Time,Indo-European,NA,NA,slʉːt,epitran
einde,StandardOrth,end (temporal),Dutch,noun,Person/Thing,Time,Indo-European,NA,NA,ɛjndeː,epitran
slot,StandardOrth,end (temporal),Dutch,noun,Person/Thing,Time,Indo-European,NA,NA,slɔt,epitran
Ende,StandardOrth,end (temporal),German,noun,Person/Thing,Time,Indo-European,Original (M. R. Key),NA,əndə,epitran
Schluss,StandardOrth,end (temporal),German,noun,Person/Thing,Time,Indo-European,Original (M. R. Key),NA,ʃlus,epitran
koniec,StandardOrth,end (temporal),Polish,noun,Person/Thing,Time,Indo-European,NA,NA,kɔɲɛt͡s,epitran
адаргъ уæвын,CyrillTrans,"last, endure",Ossetic,verb,Action/Process,Time,Indo-European,NA,NA,adarʁ wævɨn,manual(w)
хæссын,CyrillTrans,"last, endure",Ossetic,verb,Action/Process,Time,Indo-European,NA,NA,χəssɨn,manual(w)
дарддæр цæуын,CyrillTrans,"last, endure",Ossetic,verb,Action/Process,Time,Indo-European,NA,NA,darddər t͡səuɨn,manual(w)
даргъ кæнын,CyrillTrans,"last, endure",Ossetic,verb,Action/Process,Time,Indo-European,NA,NA,darʁ kənɨn,manual(w)
durare,StandardOrth,"last, endure",Italian,verb,Action/Process,Time,Indo-European,NA,NA,durare,epitran
durer,StandardOrth,"last, endure",French,verb,Action/Process,Time,Indo-European,NA,NA,dyre,epitran
durar,StandardOrth,"last, endure",Catalan,verb,Action/Process,Time,Indo-European,NA,NA,duɾaɾ,epitran
durar,StandardOrth,"last, endure",Portuguese,verb,Action/Process,Time,Indo-European,NA,NA,duɾɐɾ,epitran
suportar,StandardOrth,"last, endure",Portuguese,verb,Action/Process,Time,Indo-European,NA,NA,supoɾtɐɾ,epitran
dura,StandardOrth,"last, endure",Romanian,verb,Action/Process,Time,Indo-European,NA,NA,dura,epitran
vara,StandardOrth,"last, endure",Swedish,verb,Action/Process,Time,Indo-European,NA,NA,vɑːrɑː,epitran
räcka,StandardOrth,"last, endure",Swedish,verb,Action/Process,Time,Indo-European,NA,NA,rɛkɑː,epitran
duren,StandardOrth,"last, endure",Dutch,verb,Action/Process,Time,Indo-European,NA,NA,dyːrɛn,epitran
verduren,StandardOrth,"last, endure",Dutch,verb,Action/Process,Time,Indo-European,NA,NA,vɛrdyːrɛn,epitran
dauern,StandardOrth,"last, endure",German,verb,Action/Process,Time,Indo-European,Original (M. R. Key),NA,dawərn,epitran
(währen),StandardOrth,"last, endure",German,verb,Action/Process,Time,Indo-European,Original (M. R. Key),NA,(veːrən),epitran
trwać,StandardOrth,"last, endure",Polish,verb,Action/Process,Time,Indo-European,NA,NA,trvat͡ɕ,epitran
идайын,CyrillTrans,"begin, beginning",Ossetic,verb,Action/Process,Time,Indo-European,NA,NA,idajɨn,manual(w)
райдайæн,CyrillTrans,"begin, beginning",Ossetic,verb,Action/Process,Time,Indo-European,NA,NA,rajdajən,manual(w)
сæр,CyrillTrans,"begin, beginning",Ossetic,verb,Action/Process,Time,Indo-European,NA,NA,sər,manual(w)
cominciare,StandardOrth,"begin, beginning",Italian,verb,Action/Process,Time,Indo-European,NA,NA,komint͡ʃare,epitran
inizio,StandardOrth,"begin, beginning",Italian,verb,Action/Process,Time,Indo-European,NA,NA,inisio,epitran
commencement,StandardOrth,"begin, beginning",French,verb,Action/Process,Time,Indo-European,NA,NA,kɔmɛnsɛm,epitran
début,StandardOrth,"begin, beginning",French,verb,Action/Process,Time,Indo-European,NA,NA,deby,epitran
