value,transcription,alt_transcription,IPA,Comment
b,CyrillTrans,Phonemic,,
u,CyrillTrans,Phonemic,,
r,CyrillTrans,Phonemic,,
a,CyrillTrans,Phonemic,,
p,CyrillTrans,Phonemic,,
o,CyrillTrans,Phonemic,,
y,CyrillTrans,Phonemic,,
n,CyrillTrans,Phonemic,,
d,CyrillTrans,Phonemic,,
e,CyrillTrans,Phonemic,,
i,CyrillTrans,Phonemic,,
s,CyrillTrans,Phonemic,,
v,CyrillTrans,Phonemic,,
h,CyrillTrans,Phonemic,,
m,CyrillTrans,Phonemic,,
 ,CyrillTrans,Phonemic,,
x,CyrillTrans,Phonemic,,
z,CyrillTrans,Phonemic,,
k,CyrillTrans,Phonemic,,
š,CyrillTrans,Phonemic,,
g,CyrillTrans,Phonemic,,
ü,CyrillTrans,Phonemic,,
t,CyrillTrans,Phonemic,,
ʕ,CyrillTrans,Phonemic,,
l,CyrillTrans,Phonemic,,
ǯ,CyrillTrans,Phonemic,,
f,CyrillTrans,Phonemic,,
q,CyrillTrans,Phonemic,,
x̌,CyrillTrans,Phonemic,,
č,CyrillTrans,Phonemic,,
",",CyrillTrans,Phonemic,,
ǔ,CyrillTrans,Phonemic,,
ə,CyrillTrans,Phonemic,,
w,CyrillTrans,Phonemic,,
c,CyrillTrans,Phonemic,,
ʲ,CyrillTrans,Phonemic,,
(,CyrillTrans,Phonemic,,
),CyrillTrans,Phonemic,,
š̄,CyrillTrans,Phonemic,,
в,CyrillTrans,Phonemic,,
j,CyrillTrans,Phonemic,,
к,CyrillTrans,Phonemic,,
с̌,CyrillTrans,Phonemic,,
ʒ,CyrillTrans,Phonemic,,
ә,CyrillTrans,Phonemic,,
ǒ,CyrillTrans,Phonemic,,
