value,transcription,alt_transcription,IPA,Comment
ᵐ,Phonemic,NA,,
b,Phonemic,NA,,
o,Phonemic,NA,,
-,Phonemic,NA,,
p,Phonemic,NA,,
a,Phonemic,NA,,
h,Phonemic,NA,,
ɨ,Phonemic,NA,,
t,Phonemic,NA,,
r,Phonemic,NA,,
e,Phonemic,NA,,
ɲ,Phonemic,NA,,
ũ,Phonemic,NA,,
ʔ,Phonemic,NA,,
m,Phonemic,NA,,
u,Phonemic,NA,,
k,Phonemic,NA,,
(,Phonemic,NA,,
č,Phonemic,NA,,
),Phonemic,NA,,
 ,Phonemic,NA,,
ŋ,Phonemic,NA,,
',Phonemic,NA,,
v,Phonemic,NA,,
ǰ,Phonemic,NA,,
õ,Phonemic,NA,,
i,Phonemic,NA,,
[,Phonemic,NA,,
n,Phonemic,NA,,
],Phonemic,NA,,
ẽ,Phonemic,NA,,
ʷ,Phonemic,NA,,
ɣ,Phonemic,NA,,
s,Phonemic,NA,,
ⁿ,Phonemic,NA,,
d,Phonemic,NA,,
ã,Phonemic,NA,,
ĩ,Phonemic,NA,,
l,Phonemic,NA,,
ɨ̃,Phonemic,NA,,
ᵑ,Phonemic,NA,,
g,Phonemic,NA,,
f,Phonemic,NA,,
š,Phonemic,NA,,
