value,transcription,alt_transcription,IPA,Comment
ḳ,Phonemic,NA,,
ɨ,Phonemic,NA,,
l,Phonemic,NA,,
a,Phonemic,NA,,
t,Phonemic,NA,,
u,Phonemic,NA,,
r̃,Phonemic,NA,,
o,Phonemic,NA,,
š,Phonemic,NA,,
ʸ,Phonemic,NA,,
ü,Phonemic,NA,,
n,Phonemic,NA,,
č,Phonemic,NA,,
p,Phonemic,NA,,
i,Phonemic,NA,,
k,Phonemic,NA,,
m,Phonemic,NA,,
 ,Phonemic,NA,,
æ,Phonemic,NA,,
ɩ,Phonemic,NA,,
e,Phonemic,NA,,
ɔ,Phonemic,NA,,
ŋ,Phonemic,NA,,
s,Phonemic,NA,,
ɛ,Phonemic,NA,,
ə,Phonemic,NA,,
ö,Phonemic,NA,,
y,Phonemic,NA,,
w,Phonemic,NA,,
~,Phonemic,NA,,
z,Phonemic,NA,,
f,Phonemic,NA,,
(,Phonemic,NA,,
),Phonemic,NA,,
d,Phonemic,NA,,
b,Phonemic,NA,,
