value,transcription,alt_transcription,IPA,Comment
m,CyrillTrans,Phonemic,,
i,CyrillTrans,Phonemic,,
x,CyrillTrans,Phonemic,,
a,CyrillTrans,Phonemic,,
y,CyrillTrans,Phonemic,,
b,CyrillTrans,Phonemic,,
u,CyrillTrans,Phonemic,,
ɬ,CyrillTrans,Phonemic,,
e,CyrillTrans,Phonemic,,
l,CyrillTrans,Phonemic,,
o,CyrillTrans,Phonemic,,
 ,CyrillTrans,Phonemic,,
k,CyrillTrans,Phonemic,,
ʼ,CyrillTrans,Phonemic,,
x̌,CyrillTrans,Phonemic,,
h,CyrillTrans,Phonemic,,
ʷ,CyrillTrans,Phonemic,,
t,CyrillTrans,Phonemic,,
x̄,CyrillTrans,Phonemic,,
ʕ,CyrillTrans,Phonemic,,
d,CyrillTrans,Phonemic,,
r,CyrillTrans,Phonemic,,
z,CyrillTrans,Phonemic,,
n,CyrillTrans,Phonemic,,
s,CyrillTrans,Phonemic,,
q,CyrillTrans,Phonemic,,
g,CyrillTrans,Phonemic,,
c,CyrillTrans,Phonemic,,
š,CyrillTrans,Phonemic,,
ɣ,CyrillTrans,Phonemic,,
č,CyrillTrans,Phonemic,,
ž,CyrillTrans,Phonemic,,
w,CyrillTrans,Phonemic,,
ƛ̄,CyrillTrans,Phonemic,,
š̄,CyrillTrans,Phonemic,,
k̄,CyrillTrans,Phonemic,,
(,CyrillTrans,Phonemic,,
),CyrillTrans,Phonemic,,
ħ,CyrillTrans,Phonemic,,
p,CyrillTrans,Phonemic,,
ƛ,CyrillTrans,Phonemic,,
ʲ,CyrillTrans,Phonemic,,
f,CyrillTrans,Phonemic,,
’,CyrillTrans,Phonemic,,
ɬ̄,CyrillTrans,Phonemic,,
ʔ,CyrillTrans,Phonemic,,
ⁿ,CyrillTrans,Phonemic,,
č̄,CyrillTrans,Phonemic,,
s̄,CyrillTrans,Phonemic,,
c̄,CyrillTrans,Phonemic,,
с̌,CyrillTrans,Phonemic,,
