value,transcription,alt_transcription,IPA,Comment
m,Phonemic,NA,,
r,Phonemic,NA,,
a,Phonemic,NA,,
-,Phonemic,NA,,
ɨ,Phonemic,NA,,
w,Phonemic,NA,,
i,Phonemic,NA,,
k,Phonemic,NA,,
n,Phonemic,NA,,
o,Phonemic,NA,,
 ,Phonemic,NA,,
t,Phonemic,NA,,
e,Phonemic,NA,,
h,Phonemic,NA,,
p,Phonemic,NA,,
š,Phonemic,NA,,
u,Phonemic,NA,,
ə,Phonemic,NA,,
õ,Phonemic,NA,,
ʰ,Phonemic,NA,,
y,Phonemic,NA,,
s,Phonemic,NA,,
ã,Phonemic,NA,,
[,Phonemic,NA,,
],Phonemic,NA,,
/,Phonemic,NA,,
v,Phonemic,NA,,
ũ,Phonemic,NA,,
ɨ̃,Phonemic,NA,,
x,Phonemic,NA,,
ẽ,Phonemic,NA,,
ĩ,Phonemic,NA,,
ə̃,Phonemic,NA,,
