value,transcription,alt_transcription,IPA,Comment
ɬ,CyrillTrans,Phonemic,,
a,CyrillTrans,Phonemic,,
q,CyrillTrans,Phonemic,,
ʼ,CyrillTrans,Phonemic,,
e,CyrillTrans,Phonemic,,
r,CyrillTrans,Phonemic,,
y,CyrillTrans,Phonemic,,
ā,CyrillTrans,Phonemic,,
z,CyrillTrans,Phonemic,,
b,CyrillTrans,Phonemic,,
x,CyrillTrans,Phonemic,,
o,CyrillTrans,Phonemic,,
w,CyrillTrans,Phonemic,,
l,CyrillTrans,Phonemic,,
i,CyrillTrans,Phonemic,,
k,CyrillTrans,Phonemic,,
 ,CyrillTrans,Phonemic,,
u,CyrillTrans,Phonemic,,
š,CyrillTrans,Phonemic,,
ā,CyrillTrans,Phonemic,,
c,CyrillTrans,Phonemic,,
ʕ,CyrillTrans,Phonemic,,
d,CyrillTrans,Phonemic,,
s,CyrillTrans,Phonemic,,
m,CyrillTrans,Phonemic,,
n,CyrillTrans,Phonemic,,
",",CyrillTrans,Phonemic,,
ɣ,CyrillTrans,Phonemic,,
t,CyrillTrans,Phonemic,,
č,CyrillTrans,Phonemic,,
ƛ,CyrillTrans,Phonemic,,
ž,CyrillTrans,Phonemic,,
ħ,CyrillTrans,Phonemic,,
с̌,CyrillTrans,Phonemic,,
g,CyrillTrans,Phonemic,,
ʷ,CyrillTrans,Phonemic,,
p,CyrillTrans,Phonemic,,
h,CyrillTrans,Phonemic,,
ƛ̄,CyrillTrans,Phonemic,,
(,CyrillTrans,Phonemic,,
),CyrillTrans,Phonemic,,
ï,CyrillTrans,Phonemic,,
’,CyrillTrans,Phonemic,,
ī,CyrillTrans,Phonemic,,
f,CyrillTrans,Phonemic,,
ē,CyrillTrans,Phonemic,,
ʔ,CyrillTrans,Phonemic,,
ō,CyrillTrans,Phonemic,,
x̆,CyrillTrans,Phonemic,,
ˤ,CyrillTrans,Phonemic,,
ē,CyrillTrans,Phonemic,,
x̌,CyrillTrans,Phonemic,,
ʲ,CyrillTrans,Phonemic,,
ū,CyrillTrans,Phonemic,,
