value,transcription,alt_transcription,IPA,Comment
u,CyrillTrans,Phonemic,,
c,CyrillTrans,Phonemic,,
i,CyrillTrans,Phonemic,,
s,CyrillTrans,Phonemic,,
l,CyrillTrans,Phonemic,,
a,CyrillTrans,Phonemic,,
q,CyrillTrans,Phonemic,,
ʼ,CyrillTrans,Phonemic,,
k,CyrillTrans,Phonemic,,
e,CyrillTrans,Phonemic,,
ʷ,CyrillTrans,Phonemic,,
ā,CyrillTrans,Phonemic,,
x,CyrillTrans,Phonemic,,
 ,CyrillTrans,Phonemic,,
b,CyrillTrans,Phonemic,,
y,CyrillTrans,Phonemic,,
ɬ,CyrillTrans,Phonemic,,
m,CyrillTrans,Phonemic,,
o,CyrillTrans,Phonemic,,
r,CyrillTrans,Phonemic,,
ˤ,CyrillTrans,Phonemic,,
š,CyrillTrans,Phonemic,,
t,CyrillTrans,Phonemic,,
’,CyrillTrans,Phonemic,,
n,CyrillTrans,Phonemic,,
z,CyrillTrans,Phonemic,,
č,CyrillTrans,Phonemic,,
l̄,CyrillTrans,Phonemic,,
c̄,CyrillTrans,Phonemic,,
",",CyrillTrans,Phonemic,,
і,CyrillTrans,Phonemic,,
x̄,CyrillTrans,Phonemic,,
ƛ,CyrillTrans,Phonemic,,
g,CyrillTrans,Phonemic,,
d,CyrillTrans,Phonemic,,
ƛ̄,CyrillTrans,Phonemic,,
w,CyrillTrans,Phonemic,,
ɣ,CyrillTrans,Phonemic,,
s̄,CyrillTrans,Phonemic,,
t̄,CyrillTrans,Phonemic,,
q̄,CyrillTrans,Phonemic,,
h,CyrillTrans,Phonemic,,
ɬ̄,CyrillTrans,Phonemic,,
š̄,CyrillTrans,Phonemic,,
ž,CyrillTrans,Phonemic,,
(,CyrillTrans,Phonemic,,
),CyrillTrans,Phonemic,,
k̄,CyrillTrans,Phonemic,,
p,CyrillTrans,Phonemic,,
ʲ,CyrillTrans,Phonemic,,
ʕ,CyrillTrans,Phonemic,,
ɨ,CyrillTrans,Phonemic,,
с,CyrillTrans,Phonemic,,
f,CyrillTrans,Phonemic,,
ī,CyrillTrans,Phonemic,,
m̄,CyrillTrans,Phonemic,,
ʔ,CyrillTrans,Phonemic,,
x̌,CyrillTrans,Phonemic,,
ť,CyrillTrans,Phonemic,,
ħ,CyrillTrans,Phonemic,,
