value,transcription,alt_transcription,IPA,Comment
c,Phonemic,NA,,
h,Phonemic,NA,,
a,Phonemic,NA,,
d,Phonemic,NA,,
g,Phonemic,NA,,
r,Phonemic,NA,,
u,Phonemic,NA,,
b,Phonemic,NA,,
m,Phonemic,NA,,
t,Phonemic,NA,,
',Phonemic,NA,,
e,Phonemic,NA,,
o,Phonemic,NA,,
n,Phonemic,NA,,
.,Phonemic,NA,,
l,Phonemic,NA,,
s,Phonemic,NA,,
k,Phonemic,NA,,
 ,Phonemic,NA,,
y,Phonemic,NA,,
i,Phonemic,NA,,
ṅ,Phonemic,NA,,
ź,Phonemic,NA,,
ś,Phonemic,NA,,
j,Phonemic,NA,,
*,Phonemic,NA,,
p,Phonemic,NA,,
ñ,Phonemic,NA,,
z,Phonemic,NA,,
~,Phonemic,NA,,
w,Phonemic,NA,,
(,Phonemic,NA,,
),Phonemic,NA,,
-,Phonemic,NA,,
v,Phonemic,NA,,
H,Phonemic,NA,,
O,Phonemic,NA,,
N,Phonemic,NA,,
C,Phonemic,NA,,
T,Phonemic,NA,,
´,Phonemic,NA,,
