value,transcription,alt_transcription,IPA,Comment
c̷,Phonemic,NA,,
i,Phonemic,NA,,
x,Phonemic,NA,,
t,Phonemic,NA,,
-,Phonemic,NA,,
č̣,Phonemic,NA,,
ʰ,Phonemic,NA,,
a,Phonemic,NA,,
ḳ,Phonemic,NA,,
m,Phonemic,NA,,
r,Phonemic,NA,,
n,Phonemic,NA,,
š,Phonemic,NA,,
u,Phonemic,NA,,
k,Phonemic,NA,,
w,Phonemic,NA,,
ɲ,Phonemic,NA,,
y,Phonemic,NA,,
 ,Phonemic,NA,,
e,Phonemic,NA,,
l,Phonemic,NA,,
ʸ,Phonemic,NA,,
p,Phonemic,NA,,
[,Phonemic,NA,,
],Phonemic,NA,,
o,Phonemic,NA,,
č,Phonemic,NA,,
s,Phonemic,NA,,
ṣ̌,Phonemic,NA,,
x̣,Phonemic,NA,,
g,Phonemic,NA,,
#,Phonemic,NA,,
N,Phonemic,NA,,
A,Phonemic,NA,,
M,Phonemic,NA,,
E,Phonemic,NA,,
?,Phonemic,NA,,
ˀ,Phonemic,NA,,
h,Phonemic,NA,,
ʷ,Phonemic,NA,,
ŋ,Phonemic,NA,,
~,Phonemic,NA,,
ṣ,Phonemic,NA,,
(,Phonemic,NA,,
),Phonemic,NA,,
