value,transcription,alt_transcription,IPA,Comment
n,Phonemic,NA,,
i,Phonemic,NA,,
š,Phonemic,NA,,
p,Phonemic,NA,,
a,Phonemic,NA,,
-,Phonemic,NA,,
k,Phonemic,NA,,
ĩ,Phonemic,NA,,
ɨ,Phonemic,NA,,
s,Phonemic,NA,,
ṣ̌,Phonemic,NA,,
t,Phonemic,NA,,
m,Phonemic,NA,,
o,Phonemic,NA,,
y,Phonemic,NA,,
ã,Phonemic,NA,,
r,Phonemic,NA,,
 ,Phonemic,NA,,
β,Phonemic,NA,,
[,Phonemic,NA,,
],Phonemic,NA,,
c̷,Phonemic,NA,,
õ,Phonemic,NA,,
ɨ̃,Phonemic,NA,,
č,Phonemic,NA,,
#,Phonemic,NA,,
N,Phonemic,NA,,
A,Phonemic,NA,,
M,Phonemic,NA,,
E,Phonemic,NA,,
?,Phonemic,NA,,
ɲ,Phonemic,NA,,
ʔ,Phonemic,NA,,
b,Phonemic,NA,,
h,Phonemic,NA,,
u,Phonemic,NA,,
d,Phonemic,NA,,
.,Phonemic,NA,,
w,Phonemic,NA,,
e,Phonemic,NA,,
