value,transcription,alt_transcription,IPA,Comment
a,Phonemic,NA,,
n,Phonemic,NA,,
õ,Phonemic,NA,,
#,Phonemic,NA,,
N,Phonemic,NA,,
A,Phonemic,NA,,
M,Phonemic,NA,,
E,Phonemic,NA,,
?,Phonemic,NA,,
k,Phonemic,NA,,
ʰ,Phonemic,NA,,
i,Phonemic,NA,,
-,Phonemic,NA,,
d,Phonemic,NA,,
ʊ,Phonemic,NA,,
r,Phonemic,NA,,
č,Phonemic,NA,,
o,Phonemic,NA,,
t,Phonemic,NA,,
u,Phonemic,NA,,
p,Phonemic,NA,,
e,Phonemic,NA,,
ɛ,Phonemic,NA,,
h,Phonemic,NA,,
ẽ,Phonemic,NA,,
ã,Phonemic,NA,,
ɛ̃,Phonemic,NA,,
 ,Phonemic,NA,,
m,Phonemic,NA,,
y,Phonemic,NA,,
ĩ,Phonemic,NA,,
ɨ,Phonemic,NA,,
b,Phonemic,NA,,
ũ,Phonemic,NA,,
ɔ,Phonemic,NA,,
g,Phonemic,NA,,
ʊ̃,Phonemic,NA,,
ɔ̃,Phonemic,NA,,
[,Phonemic,NA,,
],Phonemic,NA,,
ɨ̃,Phonemic,NA,,
j,Phonemic,NA,,
(,Phonemic,NA,,
),Phonemic,NA,,
β,Phonemic,NA,,
l,Phonemic,NA,,
~,Phonemic,NA,,
P,Phonemic,NA,,
