value,transcription,alt_transcription,IPA,Comment
w,Phonemic,NA,,
-,Phonemic,NA,,
a,Phonemic,NA,,
ʔ,Phonemic,NA,,
e,Phonemic,NA,,
y,Phonemic,NA,,
o,Phonemic,NA,,
m,Phonemic,NA,,
t,Phonemic,NA,,
l,Phonemic,NA,,
ḳ,Phonemic,NA,,
d,Phonemic,NA,,
k,Phonemic,NA,,
s,Phonemic,NA,,
 ,Phonemic,NA,,
n,Phonemic,NA,,
r,Phonemic,NA,,
i,Phonemic,NA,,
ɲ,Phonemic,NA,,
ʁ,Phonemic,NA,,
g,Phonemic,NA,,
h,Phonemic,NA,,
č,Phonemic,NA,,
ʸ,Phonemic,NA,,
š,Phonemic,NA,,
p,Phonemic,NA,,
ǰ,Phonemic,NA,,
[,Phonemic,NA,,
',Phonemic,NA,,
],Phonemic,NA,,
(,Phonemic,NA,,
),Phonemic,NA,,
∅,Phonemic,NA,,
~,Phonemic,NA,,
