value,transcription,alt_transcription,IPA,Comment
-,Phonemic,NA,,
ɨ,Phonemic,NA,,
p,Phonemic,NA,,
n,Phonemic,NA,,
k,Phonemic,NA,,
a,Phonemic,NA,,
o,Phonemic,NA,,
s,Phonemic,NA,,
w,Phonemic,NA,,
m,Phonemic,NA,,
i,Phonemic,NA,,
r,Phonemic,NA,,
ʔ,Phonemic,NA,,
y,Phonemic,NA,,
h,Phonemic,NA,,
t,Phonemic,NA,,
ə,Phonemic,NA,,
u,Phonemic,NA,,
(,Phonemic,NA,,
),Phonemic,NA,,
e,Phonemic,NA,,
ɲ,Phonemic,NA,,
 ,Phonemic,NA,,
+,Phonemic,NA,,
v,Phonemic,NA,,
b,Phonemic,NA,,
[,Phonemic,NA,,
],Phonemic,NA,,
č,Phonemic,NA,,
#,Phonemic,NA,,
N,Phonemic,NA,,
A,Phonemic,NA,,
M,Phonemic,NA,,
E,Phonemic,NA,,
?,Phonemic,NA,,
:,Phonemic,NA,,
ʸ,Phonemic,NA,,
.,Phonemic,NA,,
j,Phonemic,NA,,
c,Phonemic,NA,,
/,Phonemic,NA,,
