value,transcription,alt_transcription,IPA,Comment
t,Phonemic,NA,,
a,Phonemic,NA,,
ŋ,Phonemic,NA,,
.,Phonemic,NA,,
4,Phonemic,NA,,
l,Phonemic,NA,,
i,Phonemic,NA,,
ɛ,Phonemic,NA,,
u,Phonemic,NA,,
p,Phonemic,NA,,
j,Phonemic,NA,,
:,Phonemic,NA,,
1,Phonemic,NA,,
3,Phonemic,NA,,
š,Phonemic,NA,,
 ,Phonemic,NA,,
k,Phonemic,NA,,
ɔ,Phonemic,NA,,
5,Phonemic,NA,,
o,Phonemic,NA,,
ń,Phonemic,NA,,
m,Phonemic,NA,,
2,Phonemic,NA,,
n,Phonemic,NA,,
6,Phonemic,NA,,
f,Phonemic,NA,,
ɨ,Phonemic,NA,,
ʔ,Phonemic,NA,,
b,Phonemic,NA,,
c,Phonemic,NA,,
e,Phonemic,NA,,
s,Phonemic,NA,,
w,Phonemic,NA,,
h,Phonemic,NA,,
(,Phonemic,NA,,
g,Phonemic,NA,,
r,Phonemic,NA,,
),Phonemic,NA,,
d,Phonemic,NA,,
v,Phonemic,NA,,
ə,Phonemic,NA,,
C,Phonemic,NA,,
H,Phonemic,NA,,
E,Phonemic,NA,,
K,Phonemic,NA,,
/,Phonemic,NA,,
г,Phonemic,NA,,
ю,Phonemic,NA,,
.́,Phonemic,NA,,
.̀,Phonemic,NA,,
ṗ,Phonemic,NA,,
y,Phonemic,NA,,
ł,Phonemic,NA,,
+,Phonemic,NA,,
