value,transcription,alt_transcription,IPA,Comment
q̄,CyrillTrans,Phonemic,,
u,CyrillTrans,Phonemic,,
r,CyrillTrans,Phonemic,,
o,CyrillTrans,Phonemic,,
h,CyrillTrans,Phonemic,,
p,CyrillTrans,Phonemic,,
a,CyrillTrans,Phonemic,,
s,CyrillTrans,Phonemic,,
 ,CyrillTrans,Phonemic,,
y,CyrillTrans,Phonemic,,
i,CyrillTrans,Phonemic,,
x̌,CyrillTrans,Phonemic,,
d,CyrillTrans,Phonemic,,
w,CyrillTrans,Phonemic,,
m,CyrillTrans,Phonemic,,
b,CyrillTrans,Phonemic,,
š,CyrillTrans,Phonemic,,
l,CyrillTrans,Phonemic,,
ʔ,CyrillTrans,Phonemic,,
ʕ,CyrillTrans,Phonemic,,
e,CyrillTrans,Phonemic,,
k,CyrillTrans,Phonemic,,
t,CyrillTrans,Phonemic,,
z,CyrillTrans,Phonemic,,
n,CyrillTrans,Phonemic,,
q,CyrillTrans,Phonemic,,
č,CyrillTrans,Phonemic,,
ö,CyrillTrans,Phonemic,,
c,CyrillTrans,Phonemic,,
’,CyrillTrans,Phonemic,,
x,CyrillTrans,Phonemic,,
ʼ,CyrillTrans,Phonemic,,
g,CyrillTrans,Phonemic,,
ǯ,CyrillTrans,Phonemic,,
ü,CyrillTrans,Phonemic,,
f,CyrillTrans,Phonemic,,
ɣ,CyrillTrans,Phonemic,,
ä,CyrillTrans,Phonemic,,
ɨ,CyrillTrans,Phonemic,,
(,CyrillTrans,Phonemic,,
),CyrillTrans,Phonemic,,
",",CyrillTrans,Phonemic,,
t̄,CyrillTrans,Phonemic,,
ʲ,CyrillTrans,Phonemic,,
s̄,CyrillTrans,Phonemic,,
ʒ,CyrillTrans,Phonemic,,
k̄,CyrillTrans,Phonemic,,
ž,CyrillTrans,Phonemic,,
š̄,CyrillTrans,Phonemic,,
ǯ,CyrillTrans,Phonemic,,
