value,transcription,alt_transcription,IPA,Comment
t̄,CyrillTrans,Phonemic,,
a,CyrillTrans,Phonemic,,
x,CyrillTrans,Phonemic,,
k,CyrillTrans,Phonemic,,
i,CyrillTrans,Phonemic,,
r,CyrillTrans,Phonemic,,
y,CyrillTrans,Phonemic,,
b,CyrillTrans,Phonemic,,
d,CyrillTrans,Phonemic,,
w,CyrillTrans,Phonemic,,
m,CyrillTrans,Phonemic,,
k̄,CyrillTrans,Phonemic,,
u,CyrillTrans,Phonemic,,
č̄,CyrillTrans,Phonemic,,
š,CyrillTrans,Phonemic,,
ɨ,CyrillTrans,Phonemic,,
g,CyrillTrans,Phonemic,,
ä,CyrillTrans,Phonemic,,
ǯ,CyrillTrans,Phonemic,,
t,CyrillTrans,Phonemic,,
l,CyrillTrans,Phonemic,,
s,CyrillTrans,Phonemic,,
z,CyrillTrans,Phonemic,,
n,CyrillTrans,Phonemic,,
q̄,CyrillTrans,Phonemic,,
e,CyrillTrans,Phonemic,,
č,CyrillTrans,Phonemic,,
o,CyrillTrans,Phonemic,,
f,CyrillTrans,Phonemic,,
’,CyrillTrans,Phonemic,,
ʼ,CyrillTrans,Phonemic,,
ɣ,CyrillTrans,Phonemic,,
x̌,CyrillTrans,Phonemic,,
c,CyrillTrans,Phonemic,,
h,CyrillTrans,Phonemic,,
q,CyrillTrans,Phonemic,,
ü,CyrillTrans,Phonemic,,
p,CyrillTrans,Phonemic,,
ē,CyrillTrans,Phonemic,,
ʷ,CyrillTrans,Phonemic,,
c̄,CyrillTrans,Phonemic,,
ž,CyrillTrans,Phonemic,,
 ,CyrillTrans,Phonemic,,
ʕ,CyrillTrans,Phonemic,,
p̄,CyrillTrans,Phonemic,,
ā,CyrillTrans,Phonemic,,
ö,CyrillTrans,Phonemic,,
(,CyrillTrans,Phonemic,,
),CyrillTrans,Phonemic,,
",",CyrillTrans,Phonemic,,
ū,CyrillTrans,Phonemic,,
ӯ,CyrillTrans,Phonemic,,
ȫ,CyrillTrans,Phonemic,,
ō,CyrillTrans,Phonemic,,
ӣ,CyrillTrans,Phonemic,,
s̄,CyrillTrans,Phonemic,,
