value,transcription,alt_transcription,IPA,Comment
e,Phonemic,NA,,
D,Phonemic,NA,,
a,Phonemic,NA,,
t,Phonemic,NA,,
i,Phonemic,NA,,
y,Phonemic,NA,,
u,Phonemic,NA,,
g,Phonemic,NA,,
p,Phonemic,NA,,
o,Phonemic,NA,,
l,Phonemic,NA,,
w,Phonemic,NA,,
r,Phonemic,NA,,
m,Phonemic,NA,,
n,Phonemic,NA,,
c,Phonemic,NA,,
[,Phonemic,NA,,
k,Phonemic,NA,,
],Phonemic,NA,,
 ,Phonemic,NA,,
s,Phonemic,NA,,
N,Phonemic,NA,,
d,Phonemic,NA,,
b,Phonemic,NA,,
h,Phonemic,NA,,
T,Phonemic,NA,,
ś,Phonemic,NA,,
E,Phonemic,NA,,
j,Phonemic,NA,,
ṛ,Phonemic,NA,,
L,Phonemic,NA,,
S,Phonemic,NA,,
M,Phonemic,NA,,
v,Phonemic,NA,,
-,Phonemic,NA,,
:,Phonemic,NA,,
V,Phonemic,NA,,
W,Phonemic,NA,,
~,Phonemic,NA,,
K,Phonemic,NA,,
1,Phonemic,NA,,
ḥ,Phonemic,NA,,
A,Phonemic,NA,,
2,Phonemic,NA,,
.,Phonemic,NA,,
ñ,Phonemic,NA,,
G,Phonemic,NA,,
O,Phonemic,NA,,
