value,transcription,alt_transcription,IPA,Comment
t,Phonemic,NA,,
s,Phonemic,NA,,
a,Phonemic,NA,,
y,Phonemic,NA,,
d,Phonemic,NA,,
k,Phonemic,NA,,
g,Phonemic,NA,,
m,Phonemic,NA,,
ˀ,Phonemic,NA,,
r,Phonemic,NA,,
h,Phonemic,NA,,
e,Phonemic,NA,,
ɗ,Phonemic,NA,,
o,Phonemic,NA,,
f,Phonemic,NA,,
u,Phonemic,NA,,
i,Phonemic,NA,,
 ,Phonemic,NA,,
n,Phonemic,NA,,
z,Phonemic,NA,,
l,Phonemic,NA,,
c,Phonemic,NA,,
b,Phonemic,NA,,
-,Phonemic,NA,,
ɓ,Phonemic,NA,,
j,Phonemic,NA,,
w,Phonemic,NA,,
ʔ,Phonemic,NA,,
[,Phonemic,NA,,
],Phonemic,NA,,
r̃,Phonemic,NA,,
/,Phonemic,NA,,
ī,Phonemic,NA,,
ā,Phonemic,NA,,
',Phonemic,NA,,
(,Phonemic,NA,,
.,Phonemic,NA,,
),Phonemic,NA,,
?,Phonemic,NA,,
A,Phonemic,NA,,
L,Phonemic,NA,,
T,Phonemic,NA,,
J,Phonemic,NA,,
S,Phonemic,NA,,
U,Phonemic,NA,,
W,Phonemic,NA,,
