value,transcription,alt_transcription,IPA,Comment
h,Phonemic,NA,h,
i,Phonemic,NA,i,
y,Phonemic,NA,j,
a,Phonemic,NA,a,
k,Phonemic,NA,k,
e,Phonemic,NA,e,
r,Phonemic,NA,r,
ʔ,Phonemic,NA,ʔ,
œ,Phonemic,NA,œ,
č,Phonemic,NA,tʃ,
u,Phonemic,NA,u,
t,Phonemic,NA,t,
b,Phonemic,NA,b,
ɲ,Phonemic,NA,ɲ,
x,Phonemic,NA,x,
o,Phonemic,NA,o,
õ,Phonemic,NA,õ,
s,Phonemic,NA,s,
m,Phonemic,NA,m,
d,Phonemic,NA,d,
ʸ,Phonemic,NA,ʸ,
p,Phonemic,NA,p,
æ,Phonemic,NA,æ,
n,Phonemic,NA,n,
c̷,Phonemic,NA,ts,
w,Phonemic,NA,w,
š,Phonemic,NA,ʃ,
œ̃,Phonemic,NA,œ̃,
f,Phonemic,NA,f,
ũ,Phonemic,NA,ũ,
ã,Phonemic,NA,ã,
v,Phonemic,NA,v,
ĩ,Phonemic,NA,ĩ,
ẽ,Phonemic,NA,ẽ,
á,Phonemic,NA,a,
ñ,Phonemic,NA,ɲ,
g,Phonemic,NA,g,
w̃,Phonemic,NA,w,
c,Phonemic,NA,tʃ,only appears on two words
