value,transcription,alt_transcription,IPA,Comment
ẽ,Phonemic,NA,ẽ,
d,Phonemic,NA,d,
r,Phonemic,NA,ɾ,https://en.wikipedia.org/wiki/Northern_Embera_language
ɨ,Phonemic,NA,ɨ,
ã,Phonemic,NA,ã,
u,Phonemic,NA,u,
m,Phonemic,NA,m,
e,Phonemic,NA,e,
s,Phonemic,NA,s,
a,Phonemic,NA,a,
i,Phonemic,NA,i,
k,Phonemic,NA,k,
o,Phonemic,NA,o,
b,Phonemic,NA,b,
z,Phonemic,NA,z,
r̃,Phonemic,NA,r,ẽŋkarrá in https://huntergatherer.la.utexas.edu/languages/language/90 eka'r̃a in IDS
ɓ,Phonemic,NA,ɓ,
p,Phonemic,NA,p,
č,Phonemic,NA,tʃ,
ũ,Phonemic,NA,ũ,
h,Phonemic,NA,h,
n,Phonemic,NA,n,
w,Phonemic,NA,w,
g,Phonemic,NA,g,
t,Phonemic,NA,t,
ĩ,Phonemic,NA,ĩ,
ɗ,Phonemic,NA,ɗ,
õ,Phonemic,NA,õ,
ɨ̃,Phonemic,NA,ɨ̃,
y,Phonemic,NA,j,
ǰ,Phonemic,NA,dʒ,dʒúi in https://huntergatherer.la.utexas.edu/languages/language/90 ǰu- in IDS
l,Phonemic,NA,l,
ɲ,Phonemic,NA,ɲ,
