value,transcription,alt_transcription,IPA,Comment
c̷,Phonemic,NA,ts,
i,Phonemic,NA,i,
x,Phonemic,NA,χ,https://en.wikipedia.org/wiki/Chipaya_language
t,Phonemic,NA,t,
č̣,Phonemic,NA,tʃ,
ʰ,Phonemic,NA,ʰ,
a,Phonemic,NA,a,
ḳ,Phonemic,NA,q,https://en.wikipedia.org/wiki/Chipaya_language
m,Phonemic,NA,m,
r,Phonemic,NA,r,
n,Phonemic,NA,n,
š,Phonemic,NA,ʃ,
u,Phonemic,NA,u,
k,Phonemic,NA,k,
w,Phonemic,NA,w,
ɲ,Phonemic,NA,ɲ,
y,Phonemic,NA,j,
e,Phonemic,NA,e,
l,Phonemic,NA,l,
ʸ,Phonemic,NA,ʸ,
p,Phonemic,NA,p,
o,Phonemic,NA,o,
č,Phonemic,NA,tʃ,
s,Phonemic,NA,s,
ṣ̌,Phonemic,NA,ʃ,
x̣,Phonemic,NA,x,IDs ḳx̣oxča orthographic qhocha https://es.wiktionary.org/wiki/pie
g,Phonemic,NA,g,
ˀ,Phonemic,NA,ˀ,
h,Phonemic,NA,h,
ʷ,Phonemic,NA,ʷ,
ŋ,Phonemic,NA,ŋ,
ṣ,Phonemic,NA,ç,https://en.wikipedia.org/wiki/Chipaya_language
