value,transcription,alt_transcription,IPA,Comment
ḳ,Phonemic,NA,q,
a,Phonemic,NA,a,
r,Phonemic,NA,r,
w,Phonemic,NA,w,
e,Phonemic,NA,e,
ʔ,Phonemic,NA,ʔ,
k,Phonemic,NA,k,
ˀ,Phonemic,NA,ˀ,
ō,Phonemic,NA,oː,
m,Phonemic,NA,m,
b,Phonemic,NA,b,
ā,Phonemic,NA,aː,
t,Phonemic,NA,t,
n,Phonemic,NA,n,
y,Phonemic,NA,j,
h,Phonemic,NA,h,
l,Phonemic,NA,l,
p,Phonemic,NA,p,
o,Phonemic,NA,o,
i,Phonemic,NA,i,
ē,Phonemic,NA,eː,
x,Phonemic,NA,x,
č,Phonemic,NA,tʃ,
š,Phonemic,NA,ʃ,
g,Phonemic,NA,g,
s,Phonemic,NA,s,
g̣,Phonemic,NA,ɢ,https://en.wikipedia.org/wiki/Tehuelche_language#Phonology
ī,Phonemic,NA,iː,
d,Phonemic,NA,d,
ū,Phonemic,NA,uː,
á̄,Phonemic,NA,aː,
