value,transcription,alt_transcription,IPA,Comment
č,Phonemic,NA,tʃ,
u,Phonemic,NA,u,
n,Phonemic,NA,n,
e,Phonemic,NA,e,
y,Phonemic,NA,j,
ā,Phonemic,NA,aː,
k,Phonemic,NA,k,
ˀ,Phonemic,NA,ˀ,
ʸ,Phonemic,NA,ʸ,
a,Phonemic,NA,a,
o,Phonemic,NA,o,
c̷,Phonemic,NA,ts,
i,Phonemic,NA,i,
t,Phonemic,NA,t,
ʔ,Phonemic,NA,ʔ,
h,Phonemic,NA,h,
š,Phonemic,NA,ʃ,
ɬ,Phonemic,NA,ɬ,
ī,Phonemic,NA,iː,
w,Phonemic,NA,w,
m,Phonemic,NA,m,
l,Phonemic,NA,l,
p,Phonemic,NA,p,
ʷ,Phonemic,NA,ʷ,
s,Phonemic,NA,s,
ē,Phonemic,NA,eː,
ū,Phonemic,NA,uː,
ō,Phonemic,NA,oː,
ǔ,Phonemic,NA,uː,
