value,transcription,alt_transcription,IPA,Comment
p,Phonemic,NA,p,
a,Phonemic,NA,a,
g,Phonemic,NA,g,
h,Phonemic,NA,h,
s,Phonemic,NA,s,
o,Phonemic,NA,o,
m,Phonemic,NA,m,
l,Phonemic,NA,l,
ŋ,Phonemic,NA,ŋ,
b,Phonemic,NA,b,
t,Phonemic,NA,t,
k,Phonemic,NA,k,
c,Phonemic,NA,ts,
i,Phonemic,NA,i,
r,Phonemic,NA,r,
j,Phonemic,NA,dʒ,https://omniglot.com/writing/polci.htm
e,Phonemic,NA,e,
d,Phonemic,NA,d,
n,Phonemic,NA,n,
u,Phonemic,NA,u,
ə,Phonemic,NA,ə,
y,Phonemic,NA,j,
w,Phonemic,NA,w,
v,Phonemic,NA,v,
z,Phonemic,NA,z,
ɓ,Phonemic,NA,ɓ,
ɗ,Phonemic,NA,ɗ,
f,Phonemic,NA,f,
ˀ,Phonemic,NA,ˀ,
T,Phonemic,NA,t,day of the week
ʔ,Phonemic,NA,ʔ,
