value,transcription,alt_transcription,IPA,Comment
t,Phonemic,NA,t,
a,Phonemic,NA,ɑ,https://en.wikipedia.org/wiki/Armenian_language#Phonology
r,Phonemic,NA,ɹ,https://en.wikipedia.org/wiki/Armenian_language#Phonology
i,Phonemic,NA,i,
l,Phonemic,NA,l,
g,Phonemic,NA,g,
n,Phonemic,NA,n,
k,Phonemic,NA,k,
e,Phonemic,NA,ɛ,https://en.wikipedia.org/wiki/Armenian_language#Phonology
v,Phonemic,NA,v,
č,Phonemic,NA,tʃ,
c̷,Phonemic,NA,ts,
ə,Phonemic,NA,ə,
d,Phonemic,NA,d,
o,Phonemic,NA,ɔ,https://en.wikipedia.org/wiki/Armenian_language#Phonology
h,Phonemic,NA,h,
u,Phonemic,NA,u,
ž,Phonemic,NA,ʒ,
s,Phonemic,NA,s,
z,Phonemic,NA,s,
p,Phonemic,NA,z,
š,Phonemic,NA,ʃ,
b,Phonemic,NA,b,
ǰ,Phonemic,NA,dʒ,
m,Phonemic,NA,m,
y,Phonemic,NA,j,
x,Phonemic,NA,x,
d͜,Phonemic,NA,d,
ɣ,Phonemic,NA,ɣ,
ʰ,Phonemic,NA,ʰ,
r̃,Phonemic,NA,r,https://en.wikipedia.org/wiki/Armenian_language#Phonology
A,Phonemic,NA,ɑ,
