value,transcription,alt_transcription,IPA,Comment
y,Phonemic,NA,,
-,Phonemic,NA,,
a,Phonemic,NA,,
ʁ,Phonemic,NA,,
ɲ,Phonemic,NA,,
i,Phonemic,NA,,
m,Phonemic,NA,,
t,Phonemic,NA,,
l,Phonemic,NA,,
o,Phonemic,NA,,
k,Phonemic,NA,,
ḳ,Phonemic,NA,,
ʔ,Phonemic,NA,,
n,Phonemic,NA,,
č,Phonemic,NA,,
 ,Phonemic,NA,,
e,Phonemic,NA,,
w,Phonemic,NA,,
',Phonemic,NA,,
p,Phonemic,NA,,
d,Phonemic,NA,,
s,Phonemic,NA,,
g,Phonemic,NA,,
∅,Phonemic,NA,,
h,Phonemic,NA,,
[,Phonemic,NA,,
],Phonemic,NA,,
~,Phonemic,NA,,
(,Phonemic,NA,,
<,Phonemic,NA,,
),Phonemic,NA,,
?,Phonemic,NA,,
r,Phonemic,NA,,
