Form,transcription,alt_form,alt_transcription,language,english.name,ontological.category,has.phon,phon,method
poursuivre,StandardOrth,NA,NA,French,pursue,Action/Process,NA,pursɥivr,epitran
perseguir,StandardOrth,NA,NA,Catalan,pursue,Action/Process,NA,pɛɾsɛɡiɾ,epitran
perseguir,StandardOrth,NA,NA,Portuguese,pursue,Action/Process,NA,pɛɾsɛɡʷiɾ,epitran
urmari,StandardOrth,NA,NA,Romanian,pursue,Action/Process,NA,urmari,epitran
goni,StandardOrth,NA,NA,Romanian,pursue,Action/Process,NA,ɡoni,epitran
forfølge,StandardOrth,NA,NA,Danish,pursue,Action/Process,NA,,
förfölja,StandardOrth,NA,NA,Swedish,pursue,Action/Process,NA,fœrfœjɑː,epitran
pursue,StandardOrth,NA,NA,English,pursue,Action/Process,NA,pɚsuˈ,cmu.in.ipa
vervolgen,StandardOrth,NA,NA,Dutch,pursue,Action/Process,NA,vɛrvɔlɣɛn,epitran
najagen,StandardOrth,NA,NA,Dutch,pursue,Action/Process,NA,naːjɑɣɛn,epitran
verfolgen,StandardOrth,NA,Original (M. R. Key),German,pursue,Action/Process,FALSE,feəfolɡən,epitran
nachjagen,StandardOrth,NA,Original (M. R. Key),German,pursue,Action/Process,FALSE,naxjaːɡən,epitran
vajāt,StandardOrth,NA,NA,Latvian,pursue,Action/Process,NA,vajɐt,multilingual-g2p
dzīties,StandardOrth,NA,NA,Latvian,pursue,Action/Process,NA,dzities,multilingual-g2p
pronásledovati,StandardOrth,NA,NA,Czech,pursue,Action/Process,NA,pronasledovaci,multilingual-g2p
stíhati,StandardOrth,NA,NA,Czech,pursue,Action/Process,NA,scihaci,multilingual-g2p
ścigać,StandardOrth,NA,NA,Polish,pursue,Action/Process,NA,ɕt͡ɕiɡat͡ɕ,epitran
gonić,StandardOrth,NA,NA,Polish,pursue,Action/Process,NA,ɡɔɲit͡ɕ,epitran
akolu'θo,LatinTrans,NA,NA,Modern Greek,follow,Action/Process,NA,akələθitəəʊ,multilingual-g2p
seguire,StandardOrth,NA,NA,Italian,follow,Action/Process,NA,seɡuire,epitran
suivre,StandardOrth,NA,NA,French,follow,Action/Process,NA,sɥivr,epitran
seguir,StandardOrth,NA,NA,Catalan,follow,Action/Process,NA,sɛɡiɾ,epitran
seguir,StandardOrth,NA,NA,Portuguese,follow,Action/Process,NA,sɛɡʷiɾ,epitran
urma,StandardOrth,NA,NA,Romanian,follow,Action/Process,NA,urma,epitran
følge,StandardOrth,NA,NA,Danish,follow,Action/Process,NA,,
följa,StandardOrth,NA,NA,Swedish,follow,Action/Process,NA,fœjɑː,epitran
follow,StandardOrth,NA,NA,English,follow,Action/Process,NA,fɑˈlow,cmu.in.ipa
volgen,StandardOrth,NA,NA,Dutch,follow,Action/Process,NA,vɔlɣɛn,epitran
folgen,StandardOrth,NA,Original (M. R. Key),German,follow,Action/Process,FALSE,folɡən,epitran
sekot,StandardOrth,NA,NA,Latvian,follow,Action/Process,NA,sekuot,multilingual-g2p
následovati,StandardOrth,NA,NA,Czech,follow,Action/Process,NA,nasledovaci,multilingual-g2p
лидзын,CyrillTrans,NA,NA,Ossetic,flee,Action/Process,NA,lid͡zɨn,
apo'ðro,LatinTrans,NA,NA,Modern Greek,flee,Action/Process,NA,ɐpɒðɹəʊ,multilingual-g2p
fuggire,StandardOrth,NA,NA,Italian,flee,Action/Process,NA,fud͡ʒːire,epitran
s'enfuir,StandardOrth,NA,NA,French,flee,Action/Process,NA,s'ɛnfɥir,epitran
fugir,StandardOrth,NA,NA,Catalan,flee,Action/Process,NA,fuʒiɾ,epitran
escapar,StandardOrth,NA,NA,Portuguese,flee,Action/Process,NA,ɛʃkɐpɐɾ,epitran
fugir,StandardOrth,NA,NA,Portuguese,flee,Action/Process,NA,fuʒiɾ,epitran
fugi,StandardOrth,NA,NA,Romanian,flee,Action/Process,NA,fud͡ʒi,epitran
flygte,StandardOrth,NA,NA,Danish,flee,Action/Process,NA,,
fly,StandardOrth,NA,NA,Danish,flee,Action/Process,NA,,
fly,StandardOrth,NA,NA,Swedish,flee,Action/Process,NA,flyː,epitran
flee,StandardOrth,NA,NA,English,flee,Action/Process,NA,fliˈ,cmu.in.ipa
vluchten,StandardOrth,NA,NA,Dutch,flee,Action/Process,NA,vlʏxtɛn,epitran
vlieden,StandardOrth,NA,NA,Dutch,flee,Action/Process,NA,vliːɛdɛn,epitran
fliehen,StandardOrth,NA,Original (M. R. Key),German,flee,Action/Process,FALSE,fliːən,epitran
bēgt,StandardOrth,NA,NA,Latvian,flee,Action/Process,NA,beɡt,multilingual-g2p
utéci,StandardOrth,NA,NA,Czech,flee,Action/Process,NA,utetsi,multilingual-g2p
prchnouti,StandardOrth,NA,NA,Czech,flee,Action/Process,NA,pr̩xnoʊci,multilingual-g2p
uciec,StandardOrth,NA,NA,Polish,flee,Action/Process,NA,ut͡ɕɛt͡s,epitran
uciekać,StandardOrth,NA,NA,Polish,flee,Action/Process,NA,ut͡ɕɛkat͡ɕ,epitran
сæфын,CyrillTrans,NA,NA,Ossetic,disappear,Action/Process,NA,səfɨn,
eksafa'nizome,LatinTrans,NA,NA,Modern Greek,disappear,Action/Process,NA,ɛksɐfanɪzəʊm,multilingual-g2p
sparire,StandardOrth,NA,NA,Italian,disappear,Action/Process,NA,sparire,epitran
disparaître,StandardOrth,NA,NA,French,disappear,Action/Process,NA,disparaĵtr,epitran
desaparèixer,StandardOrth,NA,NA,Catalan,disappear,Action/Process,NA,dɛsapaɾɛʒʃɛɾ,epitran
desaparecer,StandardOrth,NA,NA,Portuguese,disappear,Action/Process,NA,dɛzɐpɐɾɛzɛɾ,epitran
forsvinde,StandardOrth,NA,NA,Danish,disappear,Action/Process,NA,,
för-svinna,StandardOrth,NA,NA,Swedish,disappear,Action/Process,NA,føːr-svɪnɑː,epitran
disappear,StandardOrth,NA,NA,English,disappear,Action/Process,NA,dɪˌsʌpɪˈɹ,cmu.in.ipa
verdwijnen,StandardOrth,NA,NA,Dutch,disappear,Action/Process,NA,vɛrtʋɛjnɛn,epitran
verschwinden,StandardOrth,NA,Original (M. R. Key),German,disappear,Action/Process,FALSE,feəʃvindən,epitran
pazust,StandardOrth,NA,NA,Latvian,disappear,Action/Process,NA,pazust,multilingual-g2p
zmizeti,StandardOrth,NA,NA,Czech,disappear,Action/Process,NA,zmizeci,multilingual-g2p
znikać,StandardOrth,NA,NA,Polish,disappear,Action/Process,NA,zɲikat͡ɕ,epitran
zniknąć,StandardOrth,NA,NA,Polish,disappear,Action/Process,NA,zɲiknɔɲt͡ɕ,epitran
цæуын,CyrillTrans,NA,NA,Ossetic,"go away, depart",Action/Process,NA,t͡səuɨn,
'fevɣo,LatinTrans,NA,NA,Modern Greek,"go away, depart",Action/Process,NA,ɛfiviɡaməəʊ,multilingual-g2p
anaxo'ro,LatinTrans,NA,NA,Modern Greek,"go away, depart",Action/Process,NA,anɐksɒɹəʊ,multilingual-g2p
andarsene,StandardOrth,NA,NA,Italian,"go away, depart",Action/Process,NA,andarsene,epitran
partire,StandardOrth,NA,NA,Italian,"go away, depart",Action/Process,NA,partire,epitran
partir,StandardOrth,NA,NA,French,"go away, depart",Action/Process,NA,partjr,epitran
marxar,StandardOrth,NA,NA,Catalan,"go away, depart",Action/Process,NA,maɾʃaɾ,epitran
partir,StandardOrth,NA,NA,Portuguese,"go away, depart",Action/Process,NA,pɐɾtiɾ,epitran
pleca,StandardOrth,NA,NA,Romanian,"go away, depart",Action/Process,NA,pleka,epitran
depart,StandardOrth,NA,NA,English,"go away, depart",Action/Process,NA,dɪpɑˈɹt,cmu.in.ipa
weggaan,StandardOrth,NA,NA,Dutch,"go away, depart",Action/Process,NA,ʋɛxɣaːn,epitran
vertrekken,StandardOrth,NA,NA,Dutch,"go away, depart",Action/Process,NA,vɛrtrɛkkɛn,epitran
weggehen,StandardOrth,NA,Original (M. R. Key),German,"go away, depart",Action/Process,FALSE,vekɡeːhən,epitran
fortgehen,StandardOrth,NA,Original (M. R. Key),German,"go away, depart",Action/Process,FALSE,foətɡeːhən,epitran
odejeti,StandardOrth,NA,NA,Czech,"go away, depart",Action/Process,NA,odejeci,multilingual-g2p
odejść,StandardOrth,NA,NA,Polish,"go away, depart",Action/Process,NA,ɔdɛjɕt͡ɕ,epitran
odchodzić,StandardOrth,NA,NA,Polish,"go away, depart",Action/Process,NA,ɔdxɔd͡ʑit͡ɕ,epitran
epi'strefo,LatinTrans,NA,NA,Modern Greek,come back,Action/Process,NA,ɛpɪstɹifəʊ,multilingual-g2p
tornare,StandardOrth,NA,NA,Italian,come back,Action/Process,NA,tornare,epitran
revenir,StandardOrth,NA,NA,French,come back,Action/Process,NA,rəvɛnir,epitran
tornar,StandardOrth,NA,NA,Catalan,come back,Action/Process,NA,tɔɾnaɾ,epitran
voltar,StandardOrth,NA,NA,Portuguese,come back,Action/Process,NA,voltɐɾ,epitran
regressar,StandardOrth,NA,NA,Portuguese,come back,Action/Process,NA,ʁɛɡʁɛʃsɐɾ,epitran
terugkomen,StandardOrth,NA,NA,Dutch,come back,Action/Process,NA,teːrʏxkoːmɛn,epitran
zurückkommen,StandardOrth,NA,Original (M. R. Key),German,come back,Action/Process,FALSE,t͡suːrykkomən,epitran
atnākt,StandardOrth,NA,NA,Latvian,come back,Action/Process,NA,atnɐkt,multilingual-g2p
atgriezties,StandardOrth,NA,NA,Latvian,come back,Action/Process,NA,atɡʀiezties,multilingual-g2p
(po)wracać,StandardOrth,NA,NA,Polish,come back,Action/Process,NA,(pɔ)vrat͡sat͡ɕ,epitran
(po)wrócić,StandardOrth,NA,NA,Polish,come back,Action/Process,NA,(pɔ)vrut͡ɕit͡ɕ,epitran
цæуын,CyrillTrans,NA,NA,Ossetic,come,Action/Process,NA,t͡səuɨn,
'erxome,LatinTrans,NA,NA,Modern Greek,come,Action/Process,NA,ɜksəʊm,multilingual-g2p
venire,StandardOrth,NA,NA,Italian,come,Action/Process,NA,venire,epitran
venir,StandardOrth,NA,NA,French,come,Action/Process,NA,vənir,epitran
venir,StandardOrth,NA,NA,Catalan,come,Action/Process,NA,bɛniɾ,epitran
vir,StandardOrth,NA,NA,Portuguese,come,Action/Process,NA,viɾ,epitran
veni,StandardOrth,NA,NA,Romanian,come,Action/Process,NA,veni,epitran
komme,StandardOrth,NA,NA,Danish,come,Action/Process,NA,,
komma,StandardOrth,NA,NA,Swedish,come,Action/Process,NA,kɔmɑː,epitran
come,StandardOrth,NA,NA,English,come,Action/Process,NA,kʌˈm,cmu.in.ipa
komen,StandardOrth,NA,NA,Dutch,come,Action/Process,NA,koːmɛn,epitran
kommen,StandardOrth,NA,Original (M. R. Key),German,come,Action/Process,FALSE,komən,epitran
nākt,StandardOrth,NA,NA,Latvian,come,Action/Process,NA,nakt,multilingual-g2p
přijíti,StandardOrth,NA,NA,Czech,come,Action/Process,NA,pr̩ijici,multilingual-g2p
přicházeti,StandardOrth,NA,NA,Czech,come,Action/Process,NA,pr̩ixazeci,multilingual-g2p
przyjść,StandardOrth,NA,NA,Polish,come,Action/Process,NA,pʐɨjɕt͡ɕ,epitran
przychodzić,StandardOrth,NA,NA,Polish,come,Action/Process,NA,pʐɨxɔd͡ʑit͡ɕ,epitran
'vɣeno,LatinTrans,NA,NA,Modern Greek,go out,Action/Process,NA,viviɡaməiɛnəʊ,multilingual-g2p
uscire,StandardOrth,NA,NA,Italian,go out,Action/Process,NA,ust͡ʃire,epitran
sortir,StandardOrth,NA,NA,French,go out,Action/Process,NA,sɔrtjr,epitran
sortir,StandardOrth,NA,NA,Catalan,go out,Action/Process,NA,sɔɾtiɾ,epitran
sair,StandardOrth,NA,NA,Portuguese,go out,Action/Process,NA,sajɾ,epitran
uitgaan,StandardOrth,NA,NA,Dutch,go out,Action/Process,NA,œɥtɣaːn,epitran
ausgehen,StandardOrth,NA,Original (M. R. Key),German,go out,Action/Process,FALSE,ausɡeːhən,epitran
odejíti,StandardOrth,NA,NA,Czech,go out,Action/Process,NA,odejici,multilingual-g2p
vyjíti,StandardOrth,NA,NA,Czech,go out,Action/Process,NA,vijici,multilingual-g2p
wyjść,StandardOrth,NA,NA,Polish,go out,Action/Process,NA,vɨjɕt͡ɕ,epitran
wychodzić,StandardOrth,NA,NA,Polish,go out,Action/Process,NA,vɨxɔd͡ʑit͡ɕ,epitran
цæуын,CyrillTrans,NA,NA,Ossetic,go down,NA,NA,t͡səuɨn,
дæлæмæ,CyrillTrans,NA,NA,Ossetic,go down,NA,NA,dələmə,
kate'veno,LatinTrans,NA,NA,Modern Greek,go down,NA,NA,keɪtvinəʊ,multilingual-g2p
scendere,StandardOrth,NA,NA,Italian,go down,NA,NA,st͡ʃendere,epitran
descendre,StandardOrth,NA,NA,French,go down,NA,NA,dɛskɑ̃dr,epitran
baixar,StandardOrth,NA,NA,Catalan,go down,NA,NA,baʒʃaɾ,epitran
descer,StandardOrth,NA,NA,Portuguese,go down,NA,NA,dɛʃsɛɾ,epitran
baixar,StandardOrth,NA,NA,Portuguese,go down,NA,NA,bajksɐɾ,epitran
dalen,StandardOrth,NA,NA,Dutch,go down,NA,NA,daːlɛn,epitran
hinabgehen,StandardOrth,NA,Original (M. R. Key),German,go down,NA,FALSE,hiːnapɡeːhən,epitran
hinuntergehen,StandardOrth,NA,Original (M. R. Key),German,go down,NA,FALSE,hiːnunteəɡeːhən,epitran
herabgehen,StandardOrth,NA,Original (M. R. Key),German,go down,NA,FALSE,heːrapɡeːhən,epitran
sestupovati,StandardOrth,NA,NA,Czech,go down,NA,NA,sestupovaci,multilingual-g2p
klesati,StandardOrth,NA,NA,Czech,go down,NA,NA,klesaci,multilingual-g2p
хилын,CyrillTrans,NA,NA,Ossetic,climb,Action/Process,NA,χilɨn,
хизын,CyrillTrans,NA,NA,Ossetic,climb,Action/Process,NA,χizɨn,
ссæуын,CyrillTrans,NA,NA,Ossetic,climb,Action/Process,NA,ssəuɨn,
skarfa'lono,LatinTrans,NA,NA,Modern Greek,climb,Action/Process,NA,skɑfɐləʊnəʊ,multilingual-g2p
arrampicarsi,StandardOrth,NA,NA,Italian,climb,Action/Process,NA,arːampikarsi,epitran
grimper,StandardOrth,NA,NA,French,climb,Action/Process,NA,ɡrimpe,epitran
trepar,StandardOrth,NA,NA,Catalan,climb,Action/Process,NA,tɾɛpaɾ,epitran
trepar,StandardOrth,NA,NA,Portuguese,climb,Action/Process,NA,tɾɛpɐɾ,epitran
klatre,StandardOrth,NA,NA,Danish,climb,Action/Process,NA,,
klättra,StandardOrth,NA,NA,Swedish,climb,Action/Process,NA,klɛtrɑː,epitran
kliva,StandardOrth,NA,NA,Swedish,climb,Action/Process,NA,kliːvɑː,epitran
klänga,StandardOrth,NA,NA,Swedish,climb,Action/Process,NA,klɛŋɑː,epitran
climb,StandardOrth,NA,NA,English,climb,Action/Process,NA,klajˈm,cmu.in.ipa
klimmen,StandardOrth,NA,NA,Dutch,climb,Action/Process,NA,klɪmmɛn,epitran
erklimmen,StandardOrth,NA,Original (M. R. Key),German,climb,Action/Process,FALSE,eəklimən,epitran
besteigen,StandardOrth,NA,Original (M. R. Key),German,climb,Action/Process,FALSE,bestaieɡən,epitran
klettern,StandardOrth,NA,Original (M. R. Key),German,climb,Action/Process,FALSE,kleteən,epitran
steigen,StandardOrth,NA,Original (M. R. Key),German,climb,Action/Process,FALSE,staieɡən,epitran
rāpties,StandardOrth,NA,NA,Latvian,climb,Action/Process,NA,ʀapties,multilingual-g2p
šplhati,StandardOrth,NA,NA,Czech,climb,Action/Process,NA,spl̩haci,multilingual-g2p
цæуын,CyrillTrans,NA,NA,Ossetic,go,Action/Process,NA,t͡səuɨn,
æрцæуын,CyrillTrans,NA,NA,Ossetic,go,Action/Process,NA,ərt͡səuɨn,
уайын,CyrillTrans,NA,NA,Ossetic,go,Action/Process,NA,uajɨn,
фæцæуын,CyrillTrans,NA,NA,Ossetic,go,Action/Process,NA,fət͡səuɨn,
pi'ɣeno,LatinTrans,NA,NA,Modern Greek,go,Action/Process,NA,piaɪkwəʊtɡaməiɛnəʊ,multilingual-g2p
'pao,LatinTrans,NA,NA,Modern Greek,go,Action/Process,NA,paʊ,multilingual-g2p
andare,StandardOrth,NA,NA,Italian,go,Action/Process,NA,andare,epitran
aller,StandardOrth,NA,NA,French,go,Action/Process,NA,ale,epitran
anar,StandardOrth,NA,NA,Catalan,go,Action/Process,NA,anaɾ,epitran
ir,StandardOrth,NA,NA,Portuguese,go,Action/Process,NA,iɾ,epitran
merge,StandardOrth,NA,NA,Romanian,go,Action/Process,NA,merd͡ʒe,epitran
umbla,StandardOrth,NA,NA,Romanian,go,Action/Process,NA,umbla,epitran
gå,StandardOrth,NA,NA,Danish,go,Action/Process,NA,,
fare,StandardOrth,NA,NA,Danish,go,Action/Process,NA,,
gå,StandardOrth,NA,NA,Swedish,go,Action/Process,NA,ɡoː,epitran
fara,StandardOrth,NA,NA,Swedish,go,Action/Process,NA,fɑːrɑː,epitran
resa,StandardOrth,NA,NA,Swedish,go,Action/Process,NA,reːsɑː,epitran
go,StandardOrth,NA,NA,English,go,Action/Process,NA,gowˈ,cmu.in.ipa
gaan,StandardOrth,NA,NA,Dutch,go,Action/Process,NA,ɣaːn,epitran
gehen,StandardOrth,NA,Original (M. R. Key),German,go,Action/Process,FALSE,ɡeːhən,epitran
(fahren),StandardOrth,NA,Original (M. R. Key),German,go,Action/Process,FALSE,(faːrən),epitran
iet,StandardOrth,NA,NA,Latvian,go,Action/Process,NA,iet,multilingual-g2p
jíti,StandardOrth,NA,NA,Czech,go,Action/Process,NA,jici,multilingual-g2p
choditi,StandardOrth,NA,NA,Czech,go,Action/Process,NA,xoɟici,multilingual-g2p
iść,StandardOrth,NA,NA,Polish,go,Action/Process,NA,iɕt͡ɕ,epitran
chodzić,StandardOrth,NA,NA,Polish,go,Action/Process,NA,xɔd͡ʑit͡ɕ,epitran
ane'veno,LatinTrans,NA,NA,Modern Greek,go up,Action/Process,NA,eɪnvinəʊ,multilingual-g2p
salire,StandardOrth,NA,NA,Italian,go up,Action/Process,NA,salire,epitran
monter,StandardOrth,NA,NA,French,go up,Action/Process,NA,mɔnte,epitran
pujar,StandardOrth,NA,NA,Catalan,go up,Action/Process,NA,puʒaɾ,epitran
subir,StandardOrth,NA,NA,Portuguese,go up,Action/Process,NA,subiɾ,epitran
stijgen,StandardOrth,NA,NA,Dutch,go up,Action/Process,NA,stɛjɣɛn,epitran
hinaufgehen,StandardOrth,NA,Original (M. R. Key),German,go up,Action/Process,FALSE,hiːnaufɡeːhən,epitran
aufsteigen,StandardOrth,NA,Original (M. R. Key),German,go up,Action/Process,FALSE,aufstaieɡən,epitran
stoupati,StandardOrth,NA,NA,Czech,go up,Action/Process,NA,stoʊpaci,multilingual-g2p
згъорын,CyrillTrans,NA,NA,Ossetic,run,Action/Process,NA,zʁorɨn,
лидзын,CyrillTrans,NA,NA,Ossetic,run,Action/Process,NA,lid͡zɨn,
'trexo,LatinTrans,NA,NA,Modern Greek,run,Action/Process,NA,tɹiksəʊ,multilingual-g2p
correre,StandardOrth,NA,NA,Italian,run,Action/Process,NA,korːere,epitran
courir,StandardOrth,NA,NA,French,run,Action/Process,NA,kurir,epitran
córrer,StandardOrth,NA,NA,Catalan,run,Action/Process,NA,koɾɾɛɾ,epitran
correr,StandardOrth,NA,NA,Portuguese,run,Action/Process,NA,koʁɛɾ,epitran
alerga,StandardOrth,NA,NA,Romanian,run,Action/Process,NA,alerɡa,epitran
løbe,StandardOrth,NA,NA,Danish,run,Action/Process,NA,,
springa,StandardOrth,NA,NA,Swedish,run,Action/Process,NA,sprɪŋɑː,epitran
ränna,StandardOrth,NA,NA,Swedish,run,Action/Process,NA,rɛnɑː,epitran
löpa,StandardOrth,NA,NA,Swedish,run,Action/Process,NA,løːpɑː,epitran
run,StandardOrth,NA,NA,English,run,Action/Process,NA,ɹʌˈn,cmu.in.ipa
rennen,StandardOrth,NA,NA,Dutch,run,Action/Process,NA,rɛnnɛn,epitran
laufen,StandardOrth,NA,Original (M. R. Key),German,run,Action/Process,FALSE,lauhfən,epitran
rennen,StandardOrth,NA,Original (M. R. Key),German,run,Action/Process,FALSE,rənnən,epitran
skriet,StandardOrth,NA,NA,Latvian,run,Action/Process,NA,skʀiet,multilingual-g2p
běžeti,StandardOrth,NA,NA,Czech,run,Action/Process,NA,bezeci,multilingual-g2p
běhati,StandardOrth,NA,NA,Czech,run,Action/Process,NA,behaci,multilingual-g2p
biec,StandardOrth,NA,NA,Polish,run,Action/Process,NA,bjɛt͡s,epitran
biegać,StandardOrth,NA,NA,Polish,run,Action/Process,NA,bjɛɡat͡ɕ,epitran
чиуын,CyrillTrans,NA,NA,Ossetic,limp,Action/Process,NA,t͡ʃiuɨn,
ku'tseno,LatinTrans,NA,NA,Modern Greek,limp,Action/Process,NA,kʌtsinəʊ,multilingual-g2p
zoppicare,StandardOrth,NA,NA,Italian,limp,Action/Process,NA,sopːikare,epitran
boiter,StandardOrth,NA,NA,French,limp,Action/Process,NA,bwate,epitran
coixejar,StandardOrth,NA,NA,Catalan,limp,Action/Process,NA,kɔʒʃɛʒaɾ,epitran
coxear,StandardOrth,NA,NA,Portuguese,limp,Action/Process,NA,koksɛɐɾ,epitran
hinke,StandardOrth,NA,NA,Danish,limp,Action/Process,NA,,
halte,StandardOrth,NA,NA,Danish,limp,Action/Process,NA,,
halta,StandardOrth,NA,NA,Swedish,limp,Action/Process,NA,hɐltɑː,epitran
linka,StandardOrth,NA,NA,Swedish,limp,Action/Process,NA,lɪnkɑː,epitran
limp,StandardOrth,NA,NA,English,limp,Action/Process,NA,lɪˈmp,cmu.in.ipa
hinken,StandardOrth,NA,Original (M. R. Key),German,limp,Action/Process,FALSE,hiŋkən,epitran
klibot,StandardOrth,NA,NA,Latvian,limp,Action/Process,NA,klibuot,multilingual-g2p
kulhati,StandardOrth,NA,NA,Czech,limp,Action/Process,NA,kulhaci,multilingual-g2p
kuleć,StandardOrth,NA,NA,Polish,limp,Action/Process,NA,kulɛt͡ɕ,epitran
utykać,StandardOrth,NA,NA,Polish,limp,Action/Process,NA,utɨkat͡ɕ,epitran
цæуын,CyrillTrans,NA,NA,Ossetic,walk,Action/Process,NA,t͡səuɨn,
perpa'tao,LatinTrans,NA,NA,Modern Greek,walk,Action/Process,NA,pɜpɐtaʊ,multilingual-g2p
camminare,StandardOrth,NA,NA,Italian,walk,Action/Process,NA,kamːinare,epitran
marcher,StandardOrth,NA,NA,French,walk,Action/Process,NA,marʃe,epitran
caminar,StandardOrth,NA,NA,Catalan,walk,Action/Process,NA,kaminaɾ,epitran
andar,StandardOrth,NA,NA,Portuguese,walk,Action/Process,NA,ɐndɐɾ,epitran
caminhar,StandardOrth,NA,NA,Portuguese,walk,Action/Process,NA,kɐminɐɾ,epitran
umbla,StandardOrth,NA,NA,Romanian,walk,Action/Process,NA,umbla,epitran
merge,StandardOrth,NA,NA,Romanian,walk,Action/Process,NA,merd͡ʒe,epitran
gå,StandardOrth,NA,NA,Danish,walk,Action/Process,NA,,
gå,StandardOrth,NA,NA,Swedish,walk,Action/Process,NA,ɡoː,epitran
walk,StandardOrth,NA,NA,English,walk,Action/Process,NA,wɔˈk,cmu.in.ipa
lopen,StandardOrth,NA,NA,Dutch,walk,Action/Process,NA,loːpɛn,epitran
gehen,StandardOrth,NA,Original (M. R. Key),German,walk,Action/Process,FALSE,ɡeːhən,epitran
staigāt,StandardOrth,NA,NA,Latvian,walk,Action/Process,NA,staiɡɐt,multilingual-g2p
jíti,StandardOrth,NA,NA,Czech,walk,Action/Process,NA,jici,multilingual-g2p
choditi,StandardOrth,NA,NA,Czech,walk,Action/Process,NA,xoɟici,multilingual-g2p
iść,StandardOrth,NA,NA,Polish,walk,Action/Process,NA,iɕt͡ɕ,epitran
chodzić,StandardOrth,NA,NA,Polish,walk,Action/Process,NA,xɔd͡ʑit͡ɕ,epitran
кафын,CyrillTrans,NA,NA,Ossetic,dance,Action/Process,NA,kafɨn,
xo'revo,LatinTrans,NA,NA,Modern Greek,dance,Action/Process,NA,zəɹivəʊ,multilingual-g2p
ballare,StandardOrth,NA,NA,Italian,dance,Action/Process,NA,balːare,epitran
danser,StandardOrth,NA,NA,French,dance,Action/Process,NA,danse,epitran
ballar,StandardOrth,NA,NA,Catalan,dance,Action/Process,NA,baʎaɾ,epitran
dançar,StandardOrth,NA,NA,Portuguese,dance,Action/Process,NA,dɐnsɐɾ,epitran
dansa,StandardOrth,NA,NA,Romanian,dance,Action/Process,NA,dansa,epitran
juca,StandardOrth,NA,NA,Romanian,dance,Action/Process,NA,ʒuka,epitran
danse,StandardOrth,NA,NA,Danish,dance,Action/Process,NA,,
dansa,StandardOrth,NA,NA,Swedish,dance,Action/Process,NA,dɐnsɑː,epitran
dance,StandardOrth,NA,NA,English,dance,Action/Process,NA,dæˈns,cmu.in.ipa
dansen,StandardOrth,NA,NA,Dutch,dance,Action/Process,NA,dɑnsɛn,epitran
tanzen,StandardOrth,NA,Original (M. R. Key),German,dance,Action/Process,FALSE,tant͡sən,epitran
dejot,StandardOrth,NA,NA,Latvian,dance,Action/Process,NA,dejuot,multilingual-g2p
dancot,StandardOrth,NA,NA,Latvian,dance,Action/Process,NA,dantsuot,multilingual-g2p
tancovati,StandardOrth,NA,NA,Czech,dance,Action/Process,NA,tantsovaci,multilingual-g2p
tańczyć,StandardOrth,NA,NA,Polish,dance,Action/Process,NA,taɲt͡ʂɨt͡ɕ,epitran
tańcować,StandardOrth,NA,NA,Polish,dance,Action/Process,NA,taɲt͡sɔvat͡ɕ,epitran
klo'tsao,LatinTrans,NA,NA,Modern Greek,kick,Action/Process,NA,klɒtsaʊ,multilingual-g2p
chutar,StandardOrth,NA,NA,Portuguese,kick,Action/Process,NA,kutɐɾ,epitran
sparke,StandardOrth,NA,NA,Danish,kick,Action/Process,NA,,
sparka,StandardOrth,NA,NA,Swedish,kick,Action/Process,NA,spɐrkɑː,epitran
kick,StandardOrth,NA,NA,English,kick,Action/Process,NA,kɪˈk,cmu.in.ipa
schoppen,StandardOrth,NA,NA,Dutch,kick,Action/Process,NA,sxɔppɛn,epitran
spert,StandardOrth,NA,NA,Latvian,kick,Action/Process,NA,speʀt,multilingual-g2p
sist,StandardOrth,NA,NA,Latvian,kick,Action/Process,NA,sist,multilingual-g2p
kopati,StandardOrth,NA,NA,Czech,kick,Action/Process,NA,kopaci,multilingual-g2p
kopać,StandardOrth,NA,NA,Polish,kick,Action/Process,NA,kɔpat͡ɕ,epitran
kopnąć,StandardOrth,NA,NA,Polish,kick,Action/Process,NA,kɔpnɔɲt͡ɕ,epitran
лиуырын,CyrillTrans,NA,NA,Ossetic,"jump, leap",Action/Process,NA,liuɨrɨn,
pi'ðao,LatinTrans,NA,NA,Modern Greek,"jump, leap",Action/Process,NA,pɪðaʊ,multilingual-g2p
saltare,StandardOrth,NA,NA,Italian,"jump, leap",Action/Process,NA,saltare,epitran
sauter,StandardOrth,NA,NA,French,"jump, leap",Action/Process,NA,sote,epitran
saltar,StandardOrth,NA,NA,Catalan,"jump, leap",Action/Process,NA,saltaɾ,epitran
saltar,StandardOrth,NA,NA,Portuguese,"jump, leap",Action/Process,NA,sɐltɐɾ,epitran
sări,StandardOrth,NA,NA,Romanian,"jump, leap",Action/Process,NA,səri,epitran
hoppe,StandardOrth,NA,NA,Danish,"jump, leap",Action/Process,NA,,
springe,StandardOrth,NA,NA,Danish,"jump, leap",Action/Process,NA,,
hoppa,StandardOrth,NA,NA,Swedish,"jump, leap",Action/Process,NA,hɔpɑː,epitran
jump,StandardOrth,NA,NA,English,"jump, leap",Action/Process,NA,ʤʌˈmp,cmu.in.ipa
leap,StandardOrth,NA,NA,English,"jump, leap",Action/Process,NA,liˈp,cmu.in.ipa
