Form,transcription,alt_form,alt_transcription,language,english.name,ontological.category,has.phon,phon,method
afsluta,StandardOrth,NA,NA,Swedish,finish,Action/Process,NA,ɐfslʉːtɑː,epitran
avsluta,StandardOrth,NA,NA,Swedish,finish,Action/Process,NA,ɐvslʉːtɑː,epitran
sluta,StandardOrth,NA,NA,Swedish,finish,Action/Process,NA,slʉːtɑː,epitran
ända,StandardOrth,NA,NA,Swedish,finish,Action/Process,NA,ɛndɑː,epitran
finish,StandardOrth,NA,NA,English,finish,Action/Process,NA,fɪˈnɪʃ,cmu.in.ipa
voleindigen,StandardOrth,NA,NA,Dutch,finish,Action/Process,NA,voːlɛjndiːɣɛn,epitran
eindigen,StandardOrth,NA,NA,Dutch,finish,Action/Process,NA,ɛjndiːɣɛn,epitran
afmaken,StandardOrth,NA,NA,Dutch,finish,Action/Process,NA,ɑfmaːkɛn,epitran
vollenden,StandardOrth,NA,Original (M. R. Key),German,finish,Action/Process,FALSE,foləndən,epitran
beenden,StandardOrth,NA,Original (M. R. Key),German,finish,Action/Process,FALSE,beːndən,epitran
beendigen,StandardOrth,NA,Original (M. R. Key),German,finish,Action/Process,FALSE,beːndiːɡən,epitran
(pa)beigt,StandardOrth,NA,NA,Latvian,finish,Action/Process,NA,pabeiɡt,multilingual-g2p
dokončiti,StandardOrth,NA,NA,Czech,finish,Action/Process,NA,dokontsici,multilingual-g2p
skončiti,StandardOrth,NA,NA,Czech,finish,Action/Process,NA,skontsici,multilingual-g2p
ukončiti,StandardOrth,NA,NA,Czech,finish,Action/Process,NA,ukontsici,multilingual-g2p
(do-,StandardOrth,NA,NA,Polish,finish,Action/Process,NA,(dɔ-,epitran
s-,StandardOrth,NA,NA,Polish,finish,Action/Process,NA,s-,epitran
'telos,LatinTrans,NA,NA,Modern Greek,end (temporal),Person/Thing,NA,tiləʊz,multilingual-g2p
fine,StandardOrth,NA,NA,Italian,end (temporal),Person/Thing,NA,fine,epitran
fin,StandardOrth,NA,NA,French,end (temporal),Person/Thing,NA,fɛ̃,epitran
fi,StandardOrth,NA,NA,Catalan,end (temporal),Person/Thing,NA,fi,epitran
fim,StandardOrth,NA,NA,Portuguese,end (temporal),Person/Thing,NA,fĩ,epitran
sfîrşit,StandardOrth,NA,NA,Romanian,end (temporal),Person/Thing,NA,sfɨrʃit,epitran
ende,StandardOrth,NA,NA,Danish,end (temporal),Person/Thing,NA,,
slutning,StandardOrth,NA,NA,Danish,end (temporal),Person/Thing,NA,,
ände,StandardOrth,NA,NA,Swedish,end (temporal),Person/Thing,NA,ɛndeː,epitran
slut,StandardOrth,NA,NA,Swedish,end (temporal),Person/Thing,NA,slʉːt,epitran
end,StandardOrth,NA,NA,English,end (temporal),Person/Thing,NA,ɛˈnd,cmu.in.ipa
einde,StandardOrth,NA,NA,Dutch,end (temporal),Person/Thing,NA,ɛjndeː,epitran
