,Matthews,AUC,Accuracy,F1,ActionAccuracy,ThingAccuracy
0,0.6629935441317959,0.8671875,0.8125,0.7586206896551724,0.6875,0.9375
1,0.5720775535473553,0.85546875,0.78125,0.7096774193548386,0.6875,0.875
2,0.47304991679126607,0.8671875,0.75,0.6666666666666667,0.875,0.625
3,0.5138701197773616,0.755859375,0.703125,0.5833333333333334,0.4375,0.96875
4,0.4884436009311861,0.8368121442125237,0.7533206831119544,0.6842105263157895,0.7647058823529411,0.7419354838709677
5,0.3217242196749397,0.6793168880455408,0.6413662239089184,0.5,0.4117647058823529,0.8709677419354839
6,0.40063351537052344,0.7969639468690701,0.7077798861480076,0.6315789473684211,0.7058823529411765,0.7096774193548387
7,0.5104663163006462,0.8481973434535104,0.7666034155597723,0.7,0.8235294117647058,0.7096774193548387
8,0.40715525425753596,0.6660341555977229,0.6176470588235294,0.38095238095238093,0.23529411764705882,1.0
9,0.6530989448622371,0.9375,0.8407258064516129,0.7777777777777777,0.875,0.8064516129032258
