,Matthews,AUC,Accuracy,F1,ActionAccuracy,ThingAccuracy
0,0.49120230204650583,0.8088669950738916,0.7697044334975369,0.65,0.896551724137931,0.6428571428571429
1,0.47858445152926954,0.8177339901477833,0.7625615763546798,0.6419753086419753,0.896551724137931,0.6285714285714286
2,0.5128859177085543,0.8226600985221675,0.7810344827586206,0.6666666666666666,0.8620689655172413,0.7
3,0.6302904170715407,0.9261083743842364,0.8440886699507388,0.7397260273972602,0.9310344827586207,0.7571428571428571
4,0.4395123182566184,0.6820197044334976,0.7369458128078817,0.6136363636363636,0.9310344827586207,0.5428571428571428
5,0.4198667572534639,0.8009852216748768,0.7263546798029556,0.6086956521739131,0.7241379310344828,0.7285714285714285
6,0.6196368135020726,0.9188405797101449,0.836231884057971,0.7368421052631579,0.9333333333333333,0.7391304347826086
7,0.545749200655487,0.863768115942029,0.7956521739130435,0.6933333333333332,0.8666666666666667,0.7246376811594203
8,0.545749200655487,0.835024154589372,0.7956521739130435,0.6933333333333332,0.8666666666666667,0.7246376811594203
9,0.6284439594940356,0.8558220889555223,0.8395802098950524,0.7428571428571429,0.896551724137931,0.782608695652174
