,Matthews,AUC,Accuracy,F1,ActionAccuracy,ThingAccuracy
0,0.45364935478446794,0.7967200610221206,0.7170099160945843,0.6285714285714286,0.5789473684210527,0.855072463768116
1,0.469488939740656,0.8201754385964912,0.734744469870328,0.6578947368421053,0.6578947368421053,0.8115942028985508
2,0.46024285154719935,0.808656482569526,0.7301214257735997,0.6486486486486487,0.6486486486486487,0.8115942028985508
3,0.45520018366341547,0.7853505679592635,0.7387387387387387,0.6666666666666667,0.8108108108108109,0.6666666666666666
4,0.245593419506463,0.6294555424990209,0.6227967097532315,0.5660377358490566,0.8108108108108109,0.43478260869565216
5,0.3852369789855834,0.7649823736780259,0.6948687818253035,0.6052631578947368,0.6216216216216216,0.7681159420289855
6,0.4548629396387615,0.7273795534665101,0.6934978456717588,0.576271186440678,0.4594594594594595,0.927536231884058
7,0.3375684393959069,0.708969839404622,0.6625538582060322,0.5507246376811593,0.5135135135135135,0.8115942028985508
8,0.47783388288145434,0.8088523305914611,0.737367802585194,0.6575342465753425,0.6486486486486487,0.8260869565217391
9,0.504202590187982,0.8055340557275542,0.7581269349845201,0.6913580246913581,0.7368421052631579,0.7794117647058824
