,Matthews,AUC,Accuracy,F1,ActionAccuracy,ThingAccuracy
0,0.44842720314644063,0.6576576576576576,0.625,0.4,0.25,1.0
1,0.2701351013344489,0.6463963963963963,0.6418918918918919,0.4615384615384615,0.5,0.7837837837837838
2,0.2201100825688102,0.6373873873873874,0.5990990990990991,0.380952380952381,0.3333333333333333,0.8648648648648649
3,0.6559211523800211,0.8400900900900901,0.75,0.6666666666666666,0.5,1.0
4,0.300390521212746,0.6565315315315315,0.6407657657657658,0.45454545454545453,0.4166666666666667,0.8648648648648649
5,0.19524305524102675,0.5810810810810811,0.6002252252252253,0.4,0.4166666666666667,0.7837837837837838
6,0.4865092359773211,0.8157248157248158,0.7506142506142506,0.6086956521739131,0.6363636363636364,0.8648648648648649
7,0.3504998186163908,0.7371007371007371,0.6965601965601966,0.5185185185185185,0.6363636363636364,0.7567567567567568
8,0.3720364745708926,0.7476851851851852,0.6805555555555556,0.5217391304347826,0.5,0.8611111111111112
9,0.39036002917941326,0.8055555555555556,0.7222222222222222,0.5625000000000001,0.75,0.6944444444444444
