,Matthews,AUC,Accuracy,F1,ActionAccuracy,ThingAccuracy,language_name
0,0.4660294653048236,0.810374149659864,0.7440476190476191,0.6567164179104478,0.9166666666666666,0.5714285714285714,Nenets
1,0.42427764581383165,0.7406462585034014,0.7232142857142857,0.6363636363636364,0.875,0.5714285714285714,Nenets
2,0.5706540062349877,0.8804166666666666,0.7958333333333334,0.7272727272727272,0.8,0.7916666666666666,Nenets
3,0.35146416307616524,0.71375,0.6837500000000001,0.5964912280701754,0.68,0.6875,Nenets
4,0.5414499508458658,0.865,0.7845833333333333,0.711864406779661,0.84,0.7291666666666666,Nenets
5,0.41699777857372716,0.7416666666666667,0.7150000000000001,0.6296296296296295,0.68,0.75,Nenets
6,0.5349855221236577,0.8179166666666667,0.7758333333333334,0.7037037037037037,0.76,0.7916666666666666,Nenets
7,0.3911732792402037,0.7725000000000001,0.7004166666666667,0.6285714285714286,0.88,0.5208333333333334,Nenets
8,0.4312137990623585,0.7983333333333333,0.7245833333333334,0.6428571428571428,0.72,0.7291666666666666,Nenets
9,0.44320263021395917,0.8394097222222222,0.7291666666666666,0.6470588235294118,0.9166666666666666,0.5416666666666666,Nenets
