,Matthews,AUC,Accuracy,F1,ActionAccuracy,ThingAccuracy
0,0.31003039547574385,0.657070707070707,0.6641414141414141,0.576271186440678,0.7727272727272727,0.5555555555555556
1,0.31003039547574385,0.7409090909090909,0.6641414141414141,0.576271186440678,0.7727272727272727,0.5555555555555556
2,0.30729311349443,0.6747474747474748,0.6631313131313131,0.5660377358490567,0.6818181818181818,0.6444444444444445
3,0.2868007840900888,0.6767676767676768,0.6525252525252525,0.5614035087719298,0.7272727272727273,0.5777777777777777
4,0.26689125682583426,0.6858585858585858,0.6318181818181818,0.5588235294117647,0.8636363636363636,0.4
5,0.4009030265077657,0.744973544973545,0.7126984126984127,0.6122448979591837,0.7142857142857143,0.7111111111111111
6,0.31962771449405775,0.6677248677248677,0.6634920634920635,0.5454545454545454,0.5714285714285714,0.7555555555555555
7,0.425,0.7541322314049587,0.6931818181818181,0.5789473684210527,0.5,0.8863636363636364
8,0.26148818018424536,0.6911157024793388,0.6363636363636364,0.5573770491803278,0.7727272727272727,0.5
9,0.3644344934278313,0.7091942148760331,0.6931818181818181,0.6071428571428571,0.7727272727272727,0.6136363636363636
