,Matthews,AUC,Accuracy,F1,ActionAccuracy,ThingAccuracy
0,0.6767808909428307,0.8841346153846154,0.8528846153846155,0.7887323943661971,0.875,0.8307692307692308
1,0.5606079370696403,0.8411458333333333,0.7781723484848485,0.7076923076923077,0.696969696969697,0.859375
2,0.49807810132283176,0.8181818181818182,0.7611268939393939,0.6842105263157895,0.7878787878787878,0.734375
3,0.6021416857631604,0.8712121212121211,0.8148674242424243,0.7466666666666666,0.8484848484848485,0.78125
4,0.5131259872984821,0.8139204545454546,0.7665719696969697,0.688888888888889,0.9393939393939394,0.59375
5,0.6732859919060219,0.8792613636363636,0.8529829545454546,0.7894736842105263,0.9090909090909091,0.796875
6,0.6849668611596608,0.8779296875,0.859375,0.7945205479452054,0.90625,0.8125
7,0.5893835692907391,0.8486328125,0.8125,0.7341772151898734,0.90625,0.71875
8,0.42905816516051654,0.7978515625,0.7109375,0.6129032258064516,0.59375,0.828125
9,0.6476608756134363,0.84033203125,0.8359375,0.7714285714285714,0.84375,0.828125
