,Matthews,AUC,Accuracy,F1,ActionAccuracy,ThingAccuracy,language_name
0,0.6371306688531031,0.9004083484573503,0.8307622504537205,0.7419354838709677,0.7931034482758621,0.868421052631579,Hunzib
1,0.6144795267747716,0.897005444646098,0.8282667876588021,0.7272727272727273,0.8275862068965517,0.8289473684210527,Hunzib
2,0.6830145647581619,0.9088021778584392,0.8545825771324864,0.7741935483870968,0.8275862068965517,0.881578947368421,Hunzib
3,0.7747823565682797,0.9568965517241379,0.9022232304900182,0.8387096774193549,0.896551724137931,0.9078947368421053,Hunzib
4,0.43920080194739247,0.7809195402298851,0.7432183908045977,0.6133333333333334,0.7931034482758621,0.6933333333333334,Hunzib
5,0.46468794873334957,0.82,0.7448275862068966,0.625,0.6896551724137931,0.8,Hunzib
6,0.6286361115149226,0.9089655172413792,0.8494252873563218,0.7272727272727274,0.9655172413793104,0.7333333333333333,Hunzib
7,0.7118086894885054,0.9429885057471264,0.8894252873563219,0.7887323943661971,0.9655172413793104,0.8133333333333334,Hunzib
8,0.5523270505451461,0.8694252873563219,0.7965517241379311,0.6865671641791046,0.7931034482758621,0.8,Hunzib
9,0.5554439049178911,0.8505747126436782,0.7926436781609195,0.6875,0.7586206896551724,0.8266666666666667,Hunzib
