,Matthews,AUC,Accuracy,F1,ActionAccuracy,ThingAccuracy,language_name
0,0.2538981798168031,0.6285714285714286,0.6357142857142857,0.5384615384615384,0.7,0.5714285714285714,Karajá
1,0.367541263107396,0.7904761904761906,0.6880952380952381,0.6,0.9,0.47619047619047616,Karajá
2,0.11677484162422845,0.5022727272727272,0.5409090909090909,0.26666666666666666,0.18181818181818182,0.9,Karajá
3,0.35355339059327373,0.665,0.65,0.5,0.4,0.9,Karajá
4,0.236227795630767,0.66,0.625,0.5384615384615384,0.7,0.55,Karajá
5,0.4756514941544941,0.72,0.75,0.6666666666666667,0.9,0.6,Karajá
6,0.37796447300922725,0.75,0.7,0.6153846153846154,0.8,0.6,Karajá
7,0.4714045207910317,0.58,0.65,0.4615384615384615,0.3,1.0,Karajá
8,0.5303300858899106,0.775,0.725,0.625,0.5,0.95,Karajá
9,0.22291128503014115,0.58,0.6,0.5454545454545454,0.9,0.3,Karajá
