,Matthews,AUC,Accuracy,F1,ActionAccuracy,ThingAccuracy,language_name
0,0.5299790023639696,0.8254769921436588,0.7828282828282829,0.6774193548387097,0.7777777777777778,0.7878787878787878,Erzya Mordvin
1,0.4348471076445026,0.7132435465768798,0.7095959595959596,0.5882352941176471,0.5555555555555556,0.8636363636363636,Erzya Mordvin
2,0.3685659229290511,0.7216610549943883,0.7003367003367004,0.5757575757575758,0.7037037037037037,0.696969696969697,Erzya Mordvin
3,0.35482263301415945,0.6930415263748597,0.6792929292929293,0.5454545454545454,0.5555555555555556,0.803030303030303,Erzya Mordvin
4,0.3471446992949377,0.7132435465768798,0.664983164983165,0.52,0.48148148148148145,0.8484848484848485,Erzya Mordvin
5,0.4638808473493524,0.6896853146853147,0.7162004662004662,0.5957446808510638,0.5384615384615384,0.8939393939393939,Erzya Mordvin
6,0.3196430227760184,0.6891025641025642,0.6713286713286714,0.5333333333333333,0.6153846153846154,0.7272727272727273,Erzya Mordvin
7,0.3037429620528336,0.6506410256410255,0.6637529137529138,0.5245901639344263,0.6153846153846154,0.7121212121212122,Erzya Mordvin
8,0.15783721808428902,0.562937062937063,0.5664335664335665,0.33333333333333337,0.2692307692307692,0.8636363636363636,Erzya Mordvin
9,0.3794308805179148,0.745920745920746,0.7074592074592074,0.575,0.8846153846153846,0.5303030303030303,Erzya Mordvin
