value,transcription,alt_transcription,IPA,Comment
t,Phonemic,NA,t,
h,Phonemic,NA,h,
a,Phonemic,NA,a,
:,Phonemic,NA,ː,
9,Phonemic,NA,9,
s,Phonemic,NA,s,
u,Phonemic,NA,u,
2,Phonemic,NA,2,
e,Phonemic,NA,e,
m,Phonemic,NA,m,
ɛ,Phonemic,NA,ɛ,
n,Phonemic,NA,n,
4,Phonemic,NA,4,
8,Phonemic,NA,8,
ŋ,Phonemic,NA,ŋ,
1,Phonemic,NA,1,
k,Phonemic,NA,k,
p,Phonemic,NA,p,
7,Phonemic,NA,7,
o,Phonemic,NA,o,
c,Phonemic,NA,c,
ə,Phonemic,NA,ə,
3,Phonemic,NA,3,
i,Phonemic,NA,i,
6,Phonemic,NA,6,
ʔ,Phonemic,NA,ʔ,
j,Phonemic,NA,j,
v,Phonemic,NA,v,
x,Phonemic,NA,x,
ɔ,Phonemic,NA,ɔ,
l,Phonemic,NA,l,
5,Phonemic,NA,5,
ɨ,Phonemic,NA,ɨ,
g,Phonemic,NA,g,
f,Phonemic,NA,f,
ḳ,Phonemic,NA,k,occurs only once
